episode,seed,condition,reward,time,length,success
0,1,baseline,-50.0,0.576194,50,0.0
1,2,baseline,-50.0,0.556867,50,0.0
2,3,baseline,-50.0,0.559764,50,0.0
3,4,baseline,-50.0,0.604639,50,0.0
4,5,baseline,-50.0,1.027852,50,0.0
5,6,baseline,-40.0,0.591438,50,0.0
6,7,baseline,-50.0,0.585797,50,0.0
7,8,baseline,-50.0,0.591734,50,0.0
8,9,baseline,-50.0,0.594519,50,0.0
9,10,baseline,-50.0,0.590523,50,0.0
10,11,baseline,-50.0,0.571408,50,0.0
11,12,baseline,-49.0,0.57561,50,0.0
12,13,baseline,-50.0,0.596433,50,0.0
13,14,baseline,-49.0,0.594131,50,0.0
14,15,baseline,-48.0,0.572634,50,0.0
15,16,baseline,-50.0,0.602289,50,0.0
16,17,baseline,-50.0,0.598605,50,0.0
17,18,baseline,-49.0,0.593658,50,0.0
18,19,baseline,-50.0,0.592458,50,0.0
19,20,baseline,-50.0,0.592443,50,0.0
20,21,baseline,-50.0,0.587408,50,0.0
21,22,baseline,-50.0,0.568821,50,0.0
22,23,baseline,-50.0,0.595864,50,0.0
23,24,baseline,-37.0,0.597821,50,0.0
24,25,baseline,-50.0,0.600226,50,0.0
25,26,baseline,-50.0,0.606148,50,0.0
26,27,baseline,-50.0,0.592145,50,0.0
27,28,baseline,-50.0,0.595613,50,0.0
28,29,baseline,-50.0,0.599706,50,0.0
29,30,baseline,-50.0,0.593854,50,0.0
30,31,baseline,-48.0,0.598956,50,0.0
31,32,baseline,-49.0,0.603151,50,0.0
32,33,baseline,-50.0,0.597149,50,0.0
33,34,baseline,-50.0,0.5954,50,0.0
34,35,baseline,-50.0,0.609031,50,0.0
35,36,baseline,-50.0,0.601279,50,0.0
36,37,baseline,-45.0,0.603167,50,0.0
37,38,baseline,-48.0,0.570175,50,0.0
38,39,baseline,-50.0,0.589143,50,0.0
39,40,baseline,-50.0,0.592946,50,0.0
40,41,baseline,-50.0,0.595673,50,0.0
41,42,baseline,-50.0,0.594878,50,0.0
42,43,baseline,-50.0,0.601269,50,0.0
43,44,baseline,-50.0,0.605921,50,0.0
44,45,baseline,-48.0,0.591709,50,0.0
45,46,baseline,-46.0,0.585468,50,0.0
46,47,baseline,-40.0,0.596954,50,0.0
47,48,baseline,-49.0,0.635478,50,0.0
48,49,baseline,-47.0,0.612115,50,0.0
49,50,baseline,-47.0,0.619501,50,0.0
50,51,baseline,-43.0,0.626729,50,0.0
51,52,baseline,-50.0,0.652068,50,0.0
52,53,baseline,-50.0,0.618763,50,0.0
53,54,baseline,-50.0,0.587454,50,0.0
54,55,baseline,-50.0,0.613142,50,0.0
55,56,baseline,-50.0,0.612551,50,0.0
56,57,baseline,-47.0,0.616956,50,0.0
57,58,baseline,-50.0,0.612814,50,0.0
58,59,baseline,-50.0,0.61334,50,0.0
59,60,baseline,-50.0,0.620901,50,0.0
60,61,baseline,-48.0,0.625518,50,0.0
61,62,baseline,-50.0,0.637964,50,0.0
62,63,baseline,-50.0,0.63174,50,0.0
63,64,baseline,-50.0,0.590738,50,0.0
64,65,baseline,-50.0,0.597118,50,0.0
65,66,baseline,-50.0,0.60138,50,0.0
66,67,baseline,-50.0,0.599686,50,0.0
67,68,baseline,-50.0,0.594165,50,0.0
68,69,baseline,-50.0,0.595371,50,0.0
69,70,baseline,-50.0,0.592324,50,0.0
70,71,baseline,-50.0,0.597881,50,0.0
71,72,baseline,-50.0,0.592909,50,0.0
72,73,baseline,-49.0,0.600112,50,0.0
73,74,baseline,-50.0,0.604279,50,0.0
74,75,baseline,-50.0,0.600078,50,0.0
75,76,baseline,-50.0,0.593073,50,0.0
76,77,baseline,-44.0,0.596294,50,0.0
77,78,baseline,-50.0,0.604301,50,0.0
78,79,baseline,-50.0,0.599618,50,0.0
79,80,baseline,-50.0,0.596541,50,0.0
80,81,baseline,-50.0,0.601031,50,0.0
81,82,baseline,-50.0,0.599922,50,0.0
82,83,baseline,-46.0,0.596978,50,0.0
83,84,baseline,-50.0,0.595666,50,0.0
84,85,baseline,-50.0,0.596678,50,0.0
85,86,baseline,-50.0,0.587401,50,0.0
86,87,baseline,-50.0,0.562847,50,0.0
87,88,baseline,-47.0,0.593766,50,0.0
88,89,baseline,-50.0,0.593118,50,0.0
89,90,baseline,-48.0,0.59184,50,0.0
90,91,baseline,-50.0,0.589655,50,0.0
91,92,baseline,-43.0,0.606604,50,0.0
92,93,baseline,-50.0,0.590364,50,0.0
93,94,baseline,-50.0,0.595595,50,0.0
94,95,baseline,-50.0,0.603429,50,0.0
95,96,baseline,-48.0,0.596206,50,0.0
96,97,baseline,-49.0,0.601712,50,0.0
97,98,baseline,-49.0,0.590844,50,0.0
98,99,baseline,-46.0,0.594618,50,0.0
99,100,baseline,-39.0,0.59605,50,0.0
