episode,seed,condition,noise_std,reward,time,length,success
0,1,sensor_noise,0.01,-6.0,0.278345,50,1.0
1,2,sensor_noise,0.01,-5.0,0.134969,50,1.0
2,3,sensor_noise,0.01,-6.0,0.136534,50,1.0
3,4,sensor_noise,0.01,-7.0,0.119203,50,1.0
4,5,sensor_noise,0.01,-6.0,0.121592,50,1.0
5,6,sensor_noise,0.01,-1.0,0.12254,50,1.0
6,7,sensor_noise,0.01,-6.0,0.124007,50,1.0
7,8,sensor_noise,0.01,-6.0,0.121933,50,1.0
8,9,sensor_noise,0.01,-5.0,0.120163,50,1.0
9,10,sensor_noise,0.01,-7.0,0.120358,50,1.0
10,11,sensor_noise,0.01,-4.0,0.022596,50,1.0
11,12,sensor_noise,0.01,-7.0,0.021801,50,1.0
12,13,sensor_noise,0.01,-7.0,0.020358,50,1.0
13,14,sensor_noise,0.01,-5.0,0.021852,50,1.0
14,15,sensor_noise,0.01,-5.0,0.020248,50,1.0
15,16,sensor_noise,0.01,-4.0,0.025622,50,1.0
16,17,sensor_noise,0.01,-5.0,0.022297,50,1.0
17,18,sensor_noise,0.01,-3.0,0.021676,50,1.0
18,19,sensor_noise,0.01,-5.0,0.021075,50,1.0
19,20,sensor_noise,0.01,-6.0,0.024056,50,1.0
20,21,sensor_noise,0.01,-4.0,0.020224,50,1.0
21,22,sensor_noise,0.01,-5.0,0.027492,50,1.0
22,23,sensor_noise,0.01,-4.0,0.021097,50,1.0
23,24,sensor_noise,0.01,-1.0,0.022569,50,1.0
24,25,sensor_noise,0.01,-7.0,0.025728,50,1.0
25,26,sensor_noise,0.01,-6.0,0.028805,50,1.0
26,27,sensor_noise,0.01,-5.0,0.024209,50,1.0
27,28,sensor_noise,0.01,-7.0,0.020128,50,1.0
28,29,sensor_noise,0.01,-6.0,0.022449,50,1.0
29,30,sensor_noise,0.01,-6.0,0.027685,50,1.0
30,31,sensor_noise,0.01,-7.0,0.022092,50,1.0
31,32,sensor_noise,0.01,-4.0,0.022635,50,1.0
32,33,sensor_noise,0.01,-5.0,0.022285,50,1.0
33,34,sensor_noise,0.01,-8.0,0.02322,50,1.0
34,35,sensor_noise,0.01,-4.0,0.023736,50,1.0
35,36,sensor_noise,0.01,-6.0,0.027695,50,1.0
36,37,sensor_noise,0.01,-6.0,0.025604,50,1.0
37,38,sensor_noise,0.01,-3.0,0.022131,50,1.0
38,39,sensor_noise,0.01,-5.0,0.021402,50,1.0
39,40,sensor_noise,0.01,-6.0,0.021207,50,1.0
40,41,sensor_noise,0.01,-7.0,0.021006,50,1.0
41,42,sensor_noise,0.01,-5.0,0.021609,50,1.0
42,43,sensor_noise,0.01,-8.0,0.029532,50,1.0
43,44,sensor_noise,0.01,-5.0,0.023784,50,1.0
44,45,sensor_noise,0.01,-2.0,0.02114,50,1.0
45,46,sensor_noise,0.01,-7.0,0.022085,50,1.0
46,47,sensor_noise,0.01,-4.0,0.019846,50,1.0
47,48,sensor_noise,0.01,0.0,0.020505,50,1.0
48,49,sensor_noise,0.01,0.0,0.021433,50,1.0
49,50,sensor_noise,0.01,-5.0,0.019665,50,1.0
50,51,sensor_noise,0.01,-6.0,0.021467,50,1.0
51,52,sensor_noise,0.01,0.0,0.01987,50,1.0
52,53,sensor_noise,0.01,-6.0,0.022945,50,1.0
53,54,sensor_noise,0.01,-7.0,0.026073,50,1.0
54,55,sensor_noise,0.01,-6.0,0.020255,50,1.0
55,56,sensor_noise,0.01,-8.0,0.022268,50,1.0
56,57,sensor_noise,0.01,-4.0,0.021669,50,1.0
57,58,sensor_noise,0.01,-6.0,0.021541,50,1.0
58,59,sensor_noise,0.01,-6.0,0.022599,50,1.0
59,60,sensor_noise,0.01,-7.0,0.030445,50,1.0
60,61,sensor_noise,0.01,-4.0,0.021708,50,1.0
61,62,sensor_noise,0.01,-4.0,0.021584,50,1.0
62,63,sensor_noise,0.01,-7.0,0.021136,50,1.0
63,64,sensor_noise,0.01,-6.0,0.024739,50,1.0
64,65,sensor_noise,0.01,-6.0,0.022663,50,1.0
65,66,sensor_noise,0.01,-8.0,0.024367,50,1.0
66,67,sensor_noise,0.01,-4.0,0.022042,50,1.0
67,68,sensor_noise,0.01,-5.0,0.02116,50,1.0
68,69,sensor_noise,0.01,-5.0,0.021354,50,1.0
69,70,sensor_noise,0.01,-3.0,0.021647,50,1.0
70,71,sensor_noise,0.01,-4.0,0.02293,50,1.0
71,72,sensor_noise,0.01,-7.0,0.022579,50,1.0
72,73,sensor_noise,0.01,-3.0,0.022381,50,1.0
73,74,sensor_noise,0.01,-5.0,0.019728,50,1.0
74,75,sensor_noise,0.01,-5.0,0.025356,50,1.0
75,76,sensor_noise,0.01,-6.0,0.020057,50,1.0
76,77,sensor_noise,0.01,-4.0,0.020196,50,1.0
77,78,sensor_noise,0.01,-5.0,0.020428,50,1.0
78,79,sensor_noise,0.01,-8.0,0.022887,50,1.0
79,80,sensor_noise,0.01,-8.0,0.029883,50,1.0
80,81,sensor_noise,0.01,-6.0,0.023371,50,1.0
81,82,sensor_noise,0.01,-8.0,0.019878,50,1.0
82,83,sensor_noise,0.01,-6.0,0.022501,50,1.0
83,84,sensor_noise,0.01,-6.0,0.020305,50,1.0
84,85,sensor_noise,0.01,-5.0,0.022843,50,1.0
85,86,sensor_noise,0.01,-4.0,0.021957,50,1.0
86,87,sensor_noise,0.01,-5.0,0.020664,50,1.0
87,88,sensor_noise,0.01,-5.0,0.0226,50,1.0
88,89,sensor_noise,0.01,-4.0,0.021406,50,1.0
89,90,sensor_noise,0.01,-1.0,0.020815,50,1.0
90,91,sensor_noise,0.01,-7.0,0.023844,50,1.0
91,92,sensor_noise,0.01,-6.0,0.022369,50,1.0
92,93,sensor_noise,0.01,-5.0,0.01916,50,1.0
