episode,seed,condition,reward,time,length,success
0,1,baseline,-6.0,0.588566,50,1.0
1,2,baseline,-5.0,0.619289,50,1.0
2,3,baseline,-6.0,0.677388,50,1.0
3,4,baseline,-7.0,0.608328,50,1.0
4,5,baseline,-5.0,0.690429,50,1.0
5,6,baseline,-1.0,0.613079,50,1.0
6,7,baseline,-6.0,0.636892,50,1.0
7,8,baseline,-6.0,1.175152,50,1.0
8,9,baseline,-5.0,0.608359,50,1.0
9,10,baseline,-7.0,0.607782,50,1.0
10,11,baseline,-4.0,0.613681,50,1.0
11,12,baseline,-7.0,0.634448,50,1.0
12,13,baseline,-7.0,0.599945,50,1.0
13,14,baseline,-5.0,0.653088,50,1.0
14,15,baseline,-4.0,0.651689,50,1.0
15,16,baseline,-5.0,0.707344,50,1.0
16,17,baseline,-5.0,0.64401,50,1.0
17,18,baseline,-3.0,0.650756,50,1.0
18,19,baseline,-5.0,0.702055,50,1.0
19,20,baseline,-5.0,0.642477,50,1.0
20,21,baseline,-4.0,0.664346,50,1.0
21,22,baseline,-6.0,0.642649,50,1.0
22,23,baseline,-5.0,0.66461,50,1.0
23,24,baseline,-1.0,0.662352,50,1.0
24,25,baseline,-7.0,0.704692,50,1.0
25,26,baseline,-6.0,0.657427,50,1.0
26,27,baseline,-5.0,0.659195,50,1.0
27,28,baseline,-7.0,0.712208,50,1.0
28,29,baseline,-5.0,1.536349,50,1.0
29,30,baseline,-5.0,1.668144,50,1.0
30,31,baseline,-7.0,1.530294,50,1.0
31,32,baseline,-4.0,1.13846,50,1.0
32,33,baseline,-5.0,1.617707,50,1.0
33,34,baseline,-7.0,1.667792,50,1.0
34,35,baseline,-5.0,1.499479,50,1.0
35,36,baseline,-6.0,1.651709,50,1.0
36,37,baseline,-6.0,1.41779,50,1.0
37,38,baseline,-3.0,1.600398,50,1.0
38,39,baseline,-4.0,1.45192,50,1.0
39,40,baseline,-6.0,1.667191,50,1.0
40,41,baseline,-7.0,1.668024,50,1.0
41,42,baseline,-5.0,1.668403,50,1.0
42,43,baseline,-7.0,1.63247,50,1.0
43,44,baseline,-5.0,1.302297,50,1.0
44,45,baseline,-2.0,1.667659,50,1.0
45,46,baseline,-7.0,1.667245,50,1.0
46,47,baseline,-4.0,1.250261,50,1.0
47,48,baseline,0.0,1.667416,50,1.0
48,49,baseline,-1.0,1.668088,50,1.0
49,50,baseline,-5.0,1.465529,50,1.0
50,51,baseline,-6.0,1.568865,50,1.0
51,52,baseline,0.0,1.667781,50,1.0
52,53,baseline,-6.0,1.667035,50,1.0
53,54,baseline,-6.0,1.65171,50,1.0
54,55,baseline,-6.0,1.66659,50,1.0
55,56,baseline,-8.0,1.667436,50,1.0
56,57,baseline,-4.0,1.552123,50,1.0
57,58,baseline,-6.0,1.667685,50,1.0
58,59,baseline,-6.0,1.551277,50,1.0
59,60,baseline,-7.0,1.667347,50,1.0
60,61,baseline,-4.0,1.666541,50,1.0
61,62,baseline,-4.0,1.667641,50,1.0
62,63,baseline,-6.0,1.66698,50,1.0
63,64,baseline,-7.0,1.667694,50,1.0
64,65,baseline,-5.0,1.667987,50,1.0
65,66,baseline,-7.0,1.667078,50,1.0
66,67,baseline,-4.0,1.667294,50,1.0
67,68,baseline,-4.0,1.449376,50,1.0
68,69,baseline,-4.0,1.033559,50,1.0
69,70,baseline,-3.0,1.267214,50,1.0
70,71,baseline,-4.0,1.485556,50,1.0
71,72,baseline,-7.0,1.332927,50,1.0
72,73,baseline,-3.0,1.200429,50,1.0
73,74,baseline,-5.0,1.651575,50,1.0
74,75,baseline,-5.0,1.63401,50,1.0
75,76,baseline,-7.0,1.666662,50,1.0
76,77,baseline,-4.0,1.667684,50,1.0
77,78,baseline,-5.0,1.667699,50,1.0
78,79,baseline,-8.0,1.667171,50,1.0
79,80,baseline,-7.0,1.667734,50,1.0
80,81,baseline,-6.0,1.667853,50,1.0
81,82,baseline,-7.0,1.667315,50,1.0
82,83,baseline,-6.0,1.651804,50,1.0
83,84,baseline,-6.0,1.667239,50,1.0
84,85,baseline,-5.0,1.666742,50,1.0
85,86,baseline,-4.0,1.667762,50,1.0
86,87,baseline,-5.0,1.650884,50,1.0
87,88,baseline,-4.0,1.634341,50,1.0
88,89,baseline,-4.0,1.667816,50,1.0
89,90,baseline,-1.0,1.665146,50,1.0
90,91,baseline,-6.0,1.365484,50,1.0
91,92,baseline,-5.0,1.335725,50,1.0
92,93,baseline,-6.0,1.35039,50,1.0
93,94,baseline,-5.0,1.534263,50,1.0
94,95,baseline,-6.0,1.650281,50,1.0
95,96,baseline,-3.0,1.670697,50,1.0
96,97,baseline,0.0,1.615198,50,1.0
97,98,baseline,-8.0,1.482775,50,1.0
98,99,baseline,0.0,1.235325,50,1.0
99,100,baseline,-4.0,1.65191,50,1.0
