episode,seed,condition,noise_std,reward,time,length,success
0,1,sensor_noise,0.01,-6.0,0.304604,50,1.0
1,2,sensor_noise,0.01,-5.0,0.133054,50,1.0
2,3,sensor_noise,0.01,-6.0,0.159156,50,1.0
3,4,sensor_noise,0.01,-7.0,0.120164,50,1.0
4,5,sensor_noise,0.01,-5.0,0.120753,50,1.0
5,6,sensor_noise,0.01,-1.0,0.124158,50,1.0
6,7,sensor_noise,0.01,-6.0,0.118728,50,1.0
7,8,sensor_noise,0.01,-7.0,0.119426,50,1.0
8,9,sensor_noise,0.01,-5.0,0.132206,50,1.0
9,10,sensor_noise,0.01,-7.0,0.121331,50,1.0
10,11,sensor_noise,0.01,-4.0,0.023367,50,1.0
11,12,sensor_noise,0.01,-7.0,0.022356,50,1.0
12,13,sensor_noise,0.01,-7.0,0.020522,50,1.0
13,14,sensor_noise,0.01,-5.0,0.022041,50,1.0
14,15,sensor_noise,0.01,-5.0,0.020482,50,1.0
15,16,sensor_noise,0.01,-4.0,0.026212,50,1.0
16,17,sensor_noise,0.01,-5.0,0.022562,50,1.0
17,18,sensor_noise,0.01,-3.0,0.022169,50,1.0
18,19,sensor_noise,0.01,-6.0,0.021652,50,1.0
19,20,sensor_noise,0.01,-5.0,0.024045,50,1.0
20,21,sensor_noise,0.01,-4.0,0.02046,50,1.0
21,22,sensor_noise,0.01,-7.0,0.027313,50,1.0
22,23,sensor_noise,0.01,-6.0,0.02107,50,1.0
23,24,sensor_noise,0.01,-1.0,0.022764,50,1.0
24,25,sensor_noise,0.01,-7.0,0.0261,50,1.0
25,26,sensor_noise,0.01,-6.0,0.029783,50,1.0
26,27,sensor_noise,0.01,-6.0,0.02362,50,1.0
27,28,sensor_noise,0.01,-6.0,0.020581,50,1.0
28,29,sensor_noise,0.01,-6.0,0.022975,50,1.0
29,30,sensor_noise,0.01,-6.0,0.027868,50,1.0
30,31,sensor_noise,0.01,-7.0,0.023011,50,1.0
31,32,sensor_noise,0.01,-4.0,0.023071,50,1.0
32,33,sensor_noise,0.01,-6.0,0.023118,50,1.0
33,34,sensor_noise,0.01,-7.0,0.023595,50,1.0
34,35,sensor_noise,0.01,-5.0,0.025721,50,1.0
35,36,sensor_noise,0.01,-6.0,0.029911,50,1.0
36,37,sensor_noise,0.01,-6.0,0.026143,50,1.0
37,38,sensor_noise,0.01,-4.0,0.022739,50,1.0
38,39,sensor_noise,0.01,-4.0,0.021548,50,1.0
39,40,sensor_noise,0.01,-6.0,0.021445,50,1.0
40,41,sensor_noise,0.01,-7.0,0.021883,50,1.0
41,42,sensor_noise,0.01,-5.0,0.021717,50,1.0
42,43,sensor_noise,0.01,-7.0,0.030578,50,1.0
43,44,sensor_noise,0.01,-5.0,0.024062,50,1.0
44,45,sensor_noise,0.01,-3.0,0.021372,50,1.0
45,46,sensor_noise,0.01,-7.0,0.022334,50,1.0
