method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used
random,clean,0,0.0,-50.0,0.0,0.20027565783643267,50,1.482476830482483,1.0448111295700073,1.0,0.0
random,sensor_noise,0,0.01,-46.0,1.0,0.09143547274864876,50,1.6202208995819092,1.1355701684951782,1.0,0.0
random_recovery,sensor_noise,0,0.01,-50.0,0.0,0.3162777801975918,50,1.1989080905914307,0.8657901287078857,1.0,1.0
random,sensor_noise,0,0.05,-50.0,0.0,0.30816336237736525,50,1.5742853879928589,1.1520521640777588,1.0,0.0
random_recovery,sensor_noise,0,0.05,-50.0,0.0,0.3931242265997646,50,1.0377379655838013,0.7571399807929993,0.0,1.0
random,action_noise,0,0.05,-49.0,1.0,0.23919655213620233,50,1.6436045465242888,1.1459067128616744,1.0,0.0
random_recovery,action_noise,0,0.05,-50.0,0.0,0.24958575193677818,50,1.542724609375,1.0876952409744263,1.0,1.0
random,action_scale,0,0.5,-50.0,0.0,0.31170877340421743,50,2.091656446456909,1.4365326166152954,1.0,0.0
random_recovery,action_scale,0,0.5,-50.0,0.0,0.26702184339010576,50,0.9693925976753235,0.7157042026519775,0.0,1.0
random,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0
random_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,1.0
random,target_shift,0,0.03,-50.0,0.0,0.23848720292954623,50,1.5294662714004517,1.1552726030349731,1.0,0.0
random_recovery,target_shift,0,0.03,-50.0,0.0,0.13201819785311814,50,1.653436303138733,1.1565003395080566,1.0,0.0
rule_based,clean,0,0.0,-6.0,1.0,0.02214139054767424,50,0.014896277338266373,0.17206940054893494,0.0,0.0
rule_based,sensor_noise,0,0.01,-6.0,1.0,0.023161094409526295,50,0.17367343604564667,0.21885982155799866,0.0,0.0
rule_based_recovery,sensor_noise,0,0.01,-6.0,1.0,0.02268037886724762,50,0.1656837910413742,0.21375204622745514,0.0,0.0
rule_based,sensor_noise,0,0.05,-10.0,1.0,0.03355825553251293,50,0.847942054271698,0.6162140965461731,0.0,0.0
rule_based_recovery,sensor_noise,0,0.05,-24.0,1.0,0.038199341438170324,50,0.8834243416786194,0.6685550212860107,0.0,1.0
rule_based,action_noise,0,0.05,-6.0,1.0,0.022125553169462794,50,0.1371061119293158,0.19550664424995362,0.0,0.0
rule_based_recovery,action_noise,0,0.05,-6.0,1.0,0.022433211370714558,50,0.121535524725914,0.19306087493896484,0.0,1.0
rule_based,action_scale,0,0.5,-4.0,1.0,0.021932796786414615,50,0.021898824721574783,0.2274859994649887,0.0,0.0
rule_based_recovery,action_scale,0,0.5,-8.0,1.0,0.02193501716472772,50,0.01720569282770157,0.2131742537021637,0.0,1.0
rule_based,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,1.0
rule_based,target_shift,0,0.03,-6.0,1.0,0.022206399031572614,50,0.11886615306138992,0.2030842900276184,0.0,0.0
rule_based_recovery,target_shift,0,0.03,-6.0,1.0,0.02226900754438305,50,0.12460458278656006,0.21015805006027222,0.0,0.0
