method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used
random,clean,0,0.0,-50.0,0.0,0.2425129571398783,50,1.501391053199768,1.0888060331344604,1.0,0.0
random,sensor_noise,0,0.01,-50.0,0.0,0.2242851501747695,50,1.542324781417847,1.075750708580017,1.0,0.0
random_recovery,sensor_noise,0,0.01,-49.0,1.0,0.146943589185592,50,1.5726912021636963,1.1717342138290403,1.0,0.0
random,sensor_noise,0,0.05,-50.0,0.0,0.294197048528815,50,1.705417275428772,1.1774511337280271,0.0,0.0
random_recovery,sensor_noise,0,0.05,-50.0,0.0,0.3003149168868416,50,1.330173373222351,0.923389732837677,1.0,1.0
random,action_noise,0,0.05,-50.0,0.0,0.1237157255022745,50,1.5009136838648611,1.1440117749734695,1.0,0.0
random_recovery,action_noise,0,0.05,-50.0,0.0,0.287304285235805,50,1.1322919130325315,0.8217637538909912,1.0,1.0
random,action_scale,0,0.5,-50.0,0.0,0.2449820240554113,50,2.0724825859069824,1.4657903909683228,1.0,0.0
random_recovery,action_scale,0,0.5,-50.0,0.0,0.2453470585470159,50,1.0410795211791992,0.7472323775291443,0.0,1.0
random,action_delay,0,0.0,-50.0,0.0,0.1532654386007983,50,0.0,0.0,0.0,0.0
random_recovery,action_delay,0,0.0,-50.0,0.0,0.1532654386007983,50,0.0,0.0,0.0,1.0
random,target_shift,0,0.03,-50.0,0.0,0.2765990209031224,50,1.5233795642852783,1.1447762250900269,1.0,0.0
random_recovery,target_shift,0,0.03,-50.0,0.0,0.2981008480757565,50,0.928790807723999,0.6925365924835205,1.0,1.0
rule_based,clean,0,0.0,-6.0,1.0,0.0221413905476742,50,0.0148962773382663,0.1720694005489349,0.0,0.0
rule_based,sensor_noise,0,0.01,-6.0,1.0,0.0231610944095262,50,0.1736734360456466,0.2188598215579986,0.0,0.0
rule_based_recovery,sensor_noise,0,0.01,-6.0,1.0,0.0226803788672476,50,0.1656837910413742,0.2137520462274551,0.0,0.0
rule_based,sensor_noise,0,0.05,-10.0,1.0,0.0335582555325129,50,0.847942054271698,0.6162140965461731,0.0,0.0
rule_based_recovery,sensor_noise,0,0.05,-24.0,1.0,0.0381993414381703,50,0.8834243416786194,0.6685550212860107,0.0,1.0
rule_based,action_noise,0,0.05,-6.0,1.0,0.0221255531694627,50,0.1371061119293158,0.1955066442499536,0.0,0.0
rule_based_recovery,action_noise,0,0.05,-6.0,1.0,0.0224332113707145,50,0.121535524725914,0.1930608749389648,0.0,1.0
rule_based,action_scale,0,0.5,-4.0,1.0,0.0219327967864146,50,0.0218988247215747,0.2274859994649887,0.0,0.0
rule_based_recovery,action_scale,0,0.5,-8.0,1.0,0.0219350171647277,50,0.0172056928277015,0.2131742537021637,0.0,1.0
rule_based,action_delay,0,0.0,-50.0,0.0,0.1532654386007983,50,0.0,0.0,0.0,0.0
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.1532654386007983,50,0.0,0.0,0.0,1.0
rule_based,target_shift,0,0.03,-6.0,1.0,0.0222063990315726,50,0.1188661530613899,0.2030842900276184,0.0,0.0
rule_based_recovery,target_shift,0,0.03,-6.0,1.0,0.022269007544383,50,0.12460458278656,0.2101580500602722,0.0,0.0
sac_her,clean,0,0.0,-2.0,1.0,0.0205298324776001,50,0.037095159292221,0.9207416772842408,1.0,0.0
sac_her,sensor_noise,0,0.01,-2.0,1.0,0.0216014691202636,50,1.1578726768493652,1.2181501388549805,1.0,0.0
sac_her_recovery,sensor_noise,0,0.01,-2.0,1.0,0.0320895293880616,50,1.179172158241272,1.2016710042953491,1.0,0.0
sac_her,sensor_noise,0,0.05,-23.0,1.0,0.0552681954928814,50,2.028749942779541,1.6421213150024414,1.0,0.0
sac_her_recovery,sensor_noise,0,0.05,-41.0,1.0,0.0601570268869891,50,2.0451083183288574,1.5428005456924438,1.0,1.0
sac_her,action_noise,0,0.05,-2.0,1.0,0.0203228079483164,50,0.179240745887605,0.9126139660644268,1.0,0.0
sac_her_recovery,action_noise,0,0.05,-2.0,1.0,0.0212359102921286,50,0.2015954852104187,0.8945701122283936,1.0,1.0
sac_her,action_scale,0,0.5,-2.0,1.0,0.0203175723953998,50,0.102388896048069,1.063645839691162,1.0,0.0
sac_her_recovery,action_scale,0,0.5,-4.0,1.0,0.0203175729691675,50,0.055190123617649,1.0004650354385376,0.0,1.0
sac_her,action_delay,0,0.0,-50.0,0.0,0.1532654386007983,50,0.0,0.0,0.0,0.0
sac_her_recovery,action_delay,0,0.0,-50.0,0.0,0.1532654386007983,50,0.0,0.0,0.0,1.0
sac_her,target_shift,0,0.03,-2.0,1.0,0.0229754843669404,50,0.6432347297668457,1.0448323488235474,1.0,0.0
sac_her_recovery,target_shift,0,0.03,-2.0,1.0,0.0212965183442983,50,0.5541070699691772,1.0133347511291504,1.0,0.0
random,clean,1,0.0,-50.0,0.0,0.279205653333393,50,1.505867600440979,1.1195987462997437,1.0,0.0
random,sensor_noise,1,0.01,-44.0,1.0,0.0625052215744868,50,1.545925259590149,1.156978964805603,1.0,0.0
random_recovery,sensor_noise,1,0.01,-50.0,0.0,0.3168737292999539,50,1.2962137460708618,0.9247138500213624,1.0,1.0
random,sensor_noise,1,0.05,-50.0,0.0,0.4177582730332795,50,1.3655084371566772,0.9957720041275024,1.0,0.0
random_recovery,sensor_noise,1,0.05,-50.0,0.0,0.1481543263905202,50,1.474331617355347,1.0218733549118042,1.0,1.0
random,action_noise,1,0.05,-50.0,0.0,0.1228195577393248,50,1.479080117836826,1.081944505353107,1.0,0.0
random_recovery,action_noise,1,0.05,-50.0,0.0,0.0905699943059599,50,1.5432260036468506,1.1526007652282717,1.0,0.0
random,action_scale,1,0.5,-50.0,0.0,0.4746946101542506,50,2.1606757640838623,1.513965129852295,1.0,0.0
random_recovery,action_scale,1,0.5,-50.0,0.0,0.2272647691063821,50,1.0265556573867798,0.715639054775238,0.0,1.0
random,action_delay,1,0.0,-50.0,0.0,0.1680107433610799,50,0.0,0.0,0.0,0.0
random_recovery,action_delay,1,0.0,-50.0,0.0,0.1680107433610799,50,0.0,0.0,0.0,1.0
random,target_shift,1,0.03,-50.0,0.0,0.1646417400488053,50,1.4609079360961914,1.0725125074386597,1.0,0.0
random_recovery,target_shift,1,0.03,-50.0,0.0,0.2906590408709301,50,1.1461530923843384,0.8396468162536621,1.0,1.0
rule_based,clean,1,0.0,-6.0,1.0,0.0008745577086456,50,0.01763316988945,0.1044882982969284,0.0,0.0
rule_based,sensor_noise,1,0.01,-7.0,1.0,0.0077561073547107,50,0.1702179014682769,0.1863733232021331,0.0,0.0
rule_based_recovery,sensor_noise,1,0.01,-7.0,1.0,0.006085993763868,50,0.1694066375494003,0.1761491745710373,0.0,0.0
rule_based,sensor_noise,1,0.05,-11.0,1.0,0.0243710750085735,50,0.8644551038742065,0.699216902256012,0.0,0.0
rule_based_recovery,sensor_noise,1,0.05,-16.0,1.0,0.0143629744385811,50,0.8615069389343262,0.5837100744247437,0.0,1.0
rule_based,action_noise,1,0.05,-7.0,1.0,0.00634969272771,50,0.1435910401739538,0.1696199215125519,0.0,0.0
rule_based_recovery,action_noise,1,0.05,-6.0,1.0,0.0048431287503102,50,0.1377668678760528,0.1632290035486221,0.0,0.0
rule_based,action_scale,1,0.5,-4.0,1.0,0.0005899476829913,50,0.0262103658169507,0.1057866588234901,0.0,0.0
rule_based_recovery,action_scale,1,0.5,-8.0,1.0,0.0005898913795705,50,0.0209194961935281,0.105280764400959,0.0,1.0
rule_based,action_delay,1,0.0,-50.0,0.0,0.1680107433610799,50,0.0,0.0,0.0,0.0
rule_based_recovery,action_delay,1,0.0,-50.0,0.0,0.1680107433610799,50,0.0,0.0,0.0,1.0
rule_based,target_shift,1,0.03,-6.0,1.0,0.0184992450924942,50,0.1126858666539192,0.1700887084007263,0.0,0.0
rule_based_recovery,target_shift,1,0.03,-6.0,1.0,0.0062883670911122,50,0.1402646601200103,0.1845094114542007,0.0,0.0
sac_her,clean,1,0.0,-2.0,1.0,0.0135815831423056,50,0.0434531867504119,0.7060568332672119,1.0,0.0
sac_her,sensor_noise,1,0.01,-2.0,1.0,0.0056384280237863,50,1.421644926071167,1.1266100406646729,1.0,0.0
sac_her_recovery,sensor_noise,1,0.01,-3.0,1.0,0.0233892770031052,50,1.2441425323486328,1.1106961965560913,1.0,0.0
sac_her,sensor_noise,1,0.05,-31.0,1.0,0.0348733538937882,50,1.985179662704468,1.5934312343597412,1.0,0.0
sac_her_recovery,sensor_noise,1,0.05,-31.0,1.0,0.0151474876504413,50,2.1384105682373047,1.6005096435546875,1.0,1.0
sac_her,action_noise,1,0.05,-2.0,1.0,0.0130009549561715,50,0.1644180439544116,0.7069159120439827,1.0,0.0
sac_her_recovery,action_noise,1,0.05,-3.0,1.0,0.013743542853715,50,0.216221809387207,0.6710548400878906,1.0,1.0
sac_her,action_scale,1,0.5,-2.0,1.0,0.0140089302440267,50,0.0800796151161193,1.009095311164856,1.0,0.0
sac_her_recovery,action_scale,1,0.5,-5.0,1.0,0.0133261491206061,50,0.0297187902033329,0.5359642505645752,0.0,1.0
sac_her,action_delay,1,0.0,-50.0,0.0,0.1680107433610799,50,0.0,0.0,0.0,0.0
sac_her_recovery,action_delay,1,0.0,-50.0,0.0,0.1680107433610799,50,0.0,0.0,0.0,1.0
sac_her,target_shift,1,0.03,-2.0,1.0,0.0257038143521821,50,0.6620704531669617,0.8685722351074219,1.0,0.0
sac_her_recovery,target_shift,1,0.03,-2.0,1.0,0.0245788812046773,50,0.735500156879425,0.8643614053726196,1.0,0.0
random,clean,2,0.0,-50.0,0.0,0.2651324490194983,50,1.5897440910339355,1.15083110332489,1.0,0.0
random,sensor_noise,2,0.01,-45.0,1.0,0.1460254797600955,50,1.585038661956787,1.1610835790634155,1.0,0.0
random_recovery,sensor_noise,2,0.01,-50.0,0.0,0.2431683062600211,50,1.5436639785766602,1.1097487211227417,1.0,1.0
random,sensor_noise,2,0.05,-49.0,1.0,0.3008082659143277,50,1.5676484107971191,1.130000114440918,1.0,0.0
random_recovery,sensor_noise,2,0.05,-45.0,1.0,0.1119717241563717,50,1.342463731765747,0.9960471987724304,1.0,1.0
random,action_noise,2,0.05,-50.0,0.0,0.2310205802552742,50,1.5518173455638864,1.1559862211754026,1.0,0.0
random_recovery,action_noise,2,0.05,-50.0,0.0,0.2182670078069457,50,1.3323721885681152,0.9472686052322388,1.0,1.0
random,action_scale,2,0.5,-50.0,0.0,0.2279587210404276,50,1.8681877851486208,1.453782320022583,1.0,0.0
random_recovery,action_scale,2,0.5,-50.0,0.0,0.3174498515249014,50,1.132545828819275,0.7978470325469971,0.0,1.0
random,action_delay,2,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0
random_recovery,action_delay,2,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,1.0
random,target_shift,2,0.03,-50.0,0.0,0.3785577907599637,50,1.471350073814392,1.0672342777252195,1.0,0.0
random_recovery,target_shift,2,0.03,-50.0,0.0,0.2227185633787364,50,1.5156351327896118,1.105462670326233,1.0,0.0
rule_based,clean,2,0.0,-5.0,1.0,0.0008531807570535,50,0.0134949255734682,0.0829356014728546,0.0,0.0
rule_based,sensor_noise,2,0.01,-5.0,1.0,0.0029735508077535,50,0.1521895676851272,0.1614569872617721,0.0,0.0
rule_based_recovery,sensor_noise,2,0.01,-5.0,1.0,0.0086802718527518,50,0.1636807322502136,0.1629814654588699,0.0,0.0
rule_based,sensor_noise,2,0.05,-6.0,1.0,0.0435515852248337,50,0.8292197585105896,0.5831512212753296,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,-6.0,1.0,0.0301176016435509,50,0.8895151019096375,0.617750883102417,0.0,1.0
rule_based,action_noise,2,0.05,-6.0,1.0,0.0047755174633017,50,0.1329888623718577,0.1493677795409423,0.0,0.0
rule_based_recovery,action_noise,2,0.05,-5.0,1.0,0.0047653509679113,50,0.1350926607847213,0.1421718001365661,0.0,1.0
rule_based,action_scale,2,0.5,-3.0,1.0,0.0005657517638202,50,0.0202767625451087,0.0834803655743599,0.0,0.0
rule_based_recovery,action_scale,2,0.5,-7.0,1.0,0.0005657759817503,50,0.0170722100883722,0.083300732076168,0.0,1.0
