method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered
random,clean,0,0.0,0,-1.0,0.1712858210185387,0.0,1.473697066307068,1.473697066307068,0.0,0.0
random,clean,0,0.0,1,-1.0,0.1519807266001349,0.0,1.0886467695236206,1.0886467695236206,0.0,0.0
random,clean,0,0.0,2,-1.0,0.1768846910063142,0.0,1.363681674003601,1.363681674003601,0.0,0.0
random,clean,0,0.0,3,-1.0,0.1799074473628123,0.0,0.8961533904075623,0.8961533904075623,0.0,0.0
random,clean,0,0.0,4,-1.0,0.1818210681098159,0.0,1.1396620273590088,1.1396620273590088,0.0,0.0
random,clean,0,0.0,5,-1.0,0.1823265885186746,0.0,1.5595401525497437,1.5595401525497437,1.0,0.0
random,clean,0,0.0,6,-1.0,0.1923360987171261,0.0,1.2672010660171509,1.2672010660171509,0.0,0.0
random,clean,0,0.0,7,-1.0,0.2249776761204193,0.0,1.421251893043518,1.421251893043518,0.0,0.0
random,clean,0,0.0,8,-1.0,0.2023660574407425,0.0,1.308681845664978,1.308681845664978,0.0,0.0
random,clean,0,0.0,9,-1.0,0.2217536291606762,0.0,0.9036182761192322,0.9036182761192322,0.0,0.0
random,clean,0,0.0,10,-1.0,0.2458071232366504,0.0,1.0378440618515017,1.0378440618515017,0.0,0.0
random,clean,0,0.0,11,-1.0,0.2161902606244743,0.0,1.0668193101882937,1.0668193101882937,0.0,0.0
random,clean,0,0.0,12,-1.0,0.1960057137154207,0.0,1.152823805809021,1.152823805809021,0.0,0.0
random,clean,0,0.0,13,-1.0,0.2265260975980057,0.0,1.452780842781067,1.452780842781067,0.0,0.0
random,clean,0,0.0,14,-1.0,0.23986347472383,0.0,0.8752313852310181,0.8752313852310181,0.0,0.0
random,clean,0,0.0,15,-1.0,0.2585815102241948,0.0,0.8327375650405884,0.8327375650405884,0.0,0.0
random,clean,0,0.0,16,-1.0,0.2533485039120901,0.0,1.085790991783142,1.085790991783142,0.0,0.0
random,clean,0,0.0,17,-1.0,0.2479597447689965,0.0,0.841652512550354,0.841652512550354,0.0,0.0
random,clean,0,0.0,18,-1.0,0.2377394790732207,0.0,1.3385573625564575,1.3385573625564575,0.0,0.0
random,clean,0,0.0,19,-1.0,0.2347157384088163,0.0,0.9355165362358092,0.9355165362358092,0.0,0.0
random,clean,0,0.0,20,-1.0,0.2128643089372398,0.0,1.0695927143096924,1.0695927143096924,0.0,0.0
random,clean,0,0.0,21,-1.0,0.2182083744226851,0.0,1.2317086458206177,1.2317086458206177,0.0,0.0
random,clean,0,0.0,22,-1.0,0.2191189741488193,0.0,0.5468286275863647,0.5468286275863647,0.0,0.0
random,clean,0,0.0,23,-1.0,0.2354059753501032,0.0,0.8529931306838989,0.8529931306838989,0.0,0.0
random,clean,0,0.0,24,-1.0,0.2435080547302744,0.0,1.2545020580291748,1.2545020580291748,0.0,0.0
random,clean,0,0.0,25,-1.0,0.2343162302545361,0.0,0.5994773507118225,0.5994773507118225,0.0,0.0
random,clean,0,0.0,26,-1.0,0.2226311688536796,0.0,0.6424974799156189,0.6424974799156189,0.0,0.0
random,clean,0,0.0,27,-1.0,0.2026058872613581,0.0,1.4142465591430664,1.4142465591430664,0.0,0.0
random,clean,0,0.0,28,-1.0,0.217077549185813,0.0,1.146006464958191,1.146006464958191,0.0,0.0
random,clean,0,0.0,29,-1.0,0.1999948267257363,0.0,0.6944249868392944,0.6944249868392944,0.0,0.0
random,clean,0,0.0,30,-1.0,0.1901625923797035,0.0,1.3645343780517578,1.3645343780517578,0.0,0.0
random,clean,0,0.0,31,-1.0,0.2051558695651621,0.0,1.0414013862609863,1.0414013862609863,0.0,0.0
