method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score
random,action_delay,0.0,0.0,-50.0,0.153199116440257,50.0,0.0,0.0,0.0,0.0,3,0.0,0.7277168995781234,0.0,1.0,0.0,0.2319292248945308
random,action_noise,0.05,0.0,-50.0,0.1591852878322912,50.0,1.510603715755191,1.1273141671673264,1.0,0.0,3,0.0,0.4253868931262624,0.0,0.0,0.0,0.1063467232815656
random,action_scale,0.5,0.0,-50.0,0.3158784517500299,50.0,2.0337820450464883,1.4778459469477336,1.0,0.0,3,0.0,0.0458704181393268,0.0,0.0,0.0,0.0114676045348317
random,clean,0.0,0.0,-50.0,0.2622836864975899,50.0,1.5323342482248945,1.1197452942530317,1.0,0.0,3,0.0,0.2379524873033151,0.0,0.0,1.0,0.4094881218258288
random,sensor_noise,0.01,0.6666666666666666,-46.333333333333336,0.1442719505031173,50.0,1.557762900988261,1.1312710841496785,1.0,0.0,3,0.6666666666666666,0.44278636874035,0.6666666666666666,0.0,0.0,0.3440299255184208
random,sensor_noise,0.05,0.3333333333333333,-49.666666666666664,0.3375878624921407,50.0,1.5461913744608562,1.1010744174321492,0.6666666666666666,0.0,3,0.3333333333333333,0.1014374915310106,0.3333333333333333,0.3333333333333333,0.0,0.158692706216086
random,target_shift,0.03,0.0,-50.0,0.2732661839039638,50.0,1.485212524731954,1.0948410034179688,1.0,0.0,3,0.0,0.2275321190833757,0.0,0.0,0.0,0.0568830297708439
random_recovery,action_delay,0.0,0.0,-50.0,0.153199116440257,50.0,0.0,0.0,0.0,1.0,3,0.0,0.7277168995781234,0.0,1.0,1.0,0.5819292248945308
random_recovery,action_noise,0.05,0.0,-50.0,0.1987137624495702,50.0,1.3359633684158323,0.9738777081171672,1.0,0.6666666666666666,3,0.0,0.3888545942041866,0.0,0.0,0.6666666666666666,0.33054698188438
random_recovery,action_scale,0.5,0.0,-50.0,0.2633538930594332,50.0,1.0667270024617512,0.7535728216171265,0.0,1.0,3,0.0,0.3259570304396473,0.0,1.0,1.0,0.4814892576099118
random_recovery,sensor_noise,0.01,0.3333333333333333,-49.666666666666664,0.235661874915189,50.0,1.4708563089370728,1.0687322616577148,1.0,0.6666666666666666,3,0.3333333333333333,0.297138944501406,0.3333333333333333,0.0,0.6666666666666666,0.4242847361253514
random_recovery,sensor_noise,0.05,0.3333333333333333,-48.333333333333336,0.1868136558112445,50.0,1.382322907447815,0.9804367621739706,1.0,1.0,3,0.3333333333333333,0.4010530174989585,0.3333333333333333,0.0,1.0,0.5669299210414063
random_recovery,target_shift,0.03,0.0,-50.0,0.2704928174418077,50.0,1.1968596776326497,0.8792153596878052,1.0,0.6666666666666666,3,0.0,0.2881408858896764,0.0,0.0,0.6666666666666666,0.3053685548057524
