method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score
random,action_delay,0.0,0.0,-50.0,0.15319911644025708,50.0,0.0,0.0,0.0,0.0,3,0.0,0.7277168995781234,0.0,1.0,0.0,0.23192922489453083
random,action_noise,0.05,0.0,-50.0,0.15918528783229122,50.0,1.510603715755191,1.1273141671673264,1.0,0.0,3,0.0,0.42538689312626243,0.0,0.0,0.0,0.10634672328156561
random,action_scale,0.5,0.0,-50.0,0.3158784517500299,50.0,2.0337820450464883,1.4778459469477336,1.0,0.0,3,0.0,0.045870418139326824,0.0,0.0,0.0,0.011467604534831706
random,clean,0.0,0.0,-50.0,0.2622836864975899,50.0,1.5323342482248943,1.1197452942530315,1.0,0.0,3,0.0,0.23795248730331514,0.0,0.0,1.0,0.4094881218258288
random,sensor_noise,0.01,0.6666666666666666,-46.333333333333336,0.14427195050311734,50.0,1.557762900988261,1.1312710841496785,1.0,0.0,3,0.6666666666666666,0.44278636874035004,0.6666666666666666,0.0,0.0,0.3440299255184208
random,sensor_noise,0.05,0.3333333333333333,-49.666666666666664,0.33758786249214073,50.0,1.5461913744608562,1.1010744174321492,0.6666666666666666,0.0,3,0.3333333333333333,0.10143749153101066,0.3333333333333333,0.33333333333333337,0.0,0.158692706216086
random,target_shift,0.03,0.0,-50.0,0.27326618390396384,50.0,1.4852125247319539,1.0948410034179688,1.0,0.0,3,0.0,0.22753211908337573,0.0,0.0,0.0,0.05688302977084393
random_recovery,action_delay,0.0,0.0,-50.0,0.15319911644025708,50.0,0.0,0.0,0.0,1.0,3,0.0,0.7277168995781234,0.0,1.0,1.0,0.5819292248945308
random_recovery,action_noise,0.05,0.0,-50.0,0.1987137624495702,50.0,1.3359633684158325,0.9738777081171671,1.0,0.6666666666666666,3,0.0,0.38885459420418667,0.0,0.0,0.6666666666666666,0.33054698188438
random_recovery,action_scale,0.5,0.0,-50.0,0.2633538930594332,50.0,1.0667270024617512,0.7535728216171265,0.0,1.0,3,0.0,0.32595703043964736,0.0,1.0,1.0,0.4814892576099118
random_recovery,sensor_noise,0.01,0.3333333333333333,-49.666666666666664,0.235661874915189,50.0,1.4708563089370728,1.0687322616577148,1.0,0.6666666666666666,3,0.3333333333333333,0.29713894450140604,0.3333333333333333,0.0,0.6666666666666666,0.42428473612535145
random_recovery,sensor_noise,0.05,0.3333333333333333,-48.333333333333336,0.1868136558112445,50.0,1.382322907447815,0.9804367621739706,1.0,1.0,3,0.3333333333333333,0.4010530174989585,0.3333333333333333,0.0,1.0,0.5669299210414063
random_recovery,target_shift,0.03,0.0,-50.0,0.2704928174418077,50.0,1.1968596776326497,0.8792153596878052,1.0,0.6666666666666666,3,0.0,0.28814088588967646,0.0,0.0,0.6666666666666666,0.3053685548057524
rule_based,action_delay,0.0,0.0,-50.0,0.15319911644025708,50.0,0.0,0.0,0.0,0.0,3,0.0,0.7277168995781234,0.0,1.0,0.0,0.23192922489453083
rule_based,action_noise,0.05,1.0,-6.333333333333333,0.01108358778682487,50.0,0.13789533815837576,0.17149811510114932,0.0,0.0,3,1.0,0.9536740108334291,1.0,1.0,0.0,0.6384185027083573
rule_based,action_scale,0.5,1.0,-3.6666666666666665,0.007696165411075393,50.0,0.022795317694544792,0.13891767462094626,0.0,0.0,3,1.0,0.9819198171607393,1.0,1.0,0.0,0.6454799542901849
rule_based,clean,0.0,1.0,-5.666666666666667,0.007956376337791143,50.0,0.015341457600394884,0.11983110010623932,0.0,0.0,3,1.0,0.98289664677301,1.0,1.0,1.0,0.9957241616932525
rule_based,sensor_noise,0.01,1.0,-6.0,0.011296917523996843,50.0,0.16536030173301697,0.188896710673968,0.0,0.0,3,1.0,0.9479914973644072,1.0,1.0,0.0,0.6369978743411019
rule_based,sensor_noise,0.05,1.0,-9.0,0.033826971921973405,50.0,0.847205638885498,0.6328607400258383,0.0,0.0,3,1.0,0.7762872643926686,1.0,1.0,0.0,0.5940718160981672
