method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used
sac_plain,clean,0,0.0,-50.0,0.0,0.08490790406260926,50,1.496139407157898,1.0283896923065186,0.0,0.0
sac_plain,sensor_noise,0,0.01,-50.0,0.0,0.08638368017377189,50,1.2989007234573364,0.9970428943634033,0.0,0.0
sac_plain_recovery,sensor_noise,0,0.01,-50.0,0.0,0.08452536239248072,50,1.6831915378570557,1.1563177108764648,1.0,0.0
sac_plain,sensor_noise,0,0.05,-50.0,0.0,0.09736458407225473,50,1.8353674411773682,1.3715715408325195,1.0,0.0
sac_plain_recovery,sensor_noise,0,0.05,-50.0,0.0,0.13527490001133216,50,1.6364299058914185,1.157240629196167,1.0,1.0
sac_plain,action_noise,0,0.05,-50.0,0.0,0.08669677237416247,50,1.5356666698986479,1.0571760388320446,0.0,0.0
sac_plain_recovery,action_noise,0,0.05,-50.0,0.0,0.08241722984639441,50,1.4613133668899536,1.0098069906234741,0.0,1.0
sac_plain,action_scale,0,0.5,-50.0,0.0,0.07071872244653202,50,2.1559600830078125,1.4517582654953003,1.0,0.0
sac_plain_recovery,action_scale,0,0.5,-50.0,0.0,0.09642115428782104,50,0.5684106349945068,0.5772643685340881,0.0,1.0
sac_plain,target_shift,0,0.03,-50.0,0.0,0.08387216024478535,50,1.4832749366760254,1.035839557647705,0.0,0.0
sac_plain_recovery,target_shift,0,0.03,-50.0,0.0,0.09786338498356358,50,1.40815007686615,1.0095276832580566,0.0,0.0
sac_plain,clean,1,0.0,-50.0,0.0,0.11950474284077593,50,1.162229299545288,1.0894273519515991,0.0,0.0
sac_plain,sensor_noise,1,0.01,-50.0,0.0,0.10361855951488184,50,1.2494474649429321,1.1524837017059326,0.0,0.0
sac_plain_recovery,sensor_noise,1,0.01,-50.0,0.0,0.12333447863237797,50,1.2997924089431763,1.1584068536758423,0.0,0.0
sac_plain,sensor_noise,1,0.05,-50.0,0.0,0.17332038451605444,50,1.8444594144821167,1.4075005054473877,1.0,0.0
sac_plain_recovery,sensor_noise,1,0.05,-41.0,1.0,0.1335120067994041,50,1.551479697227478,1.2490142583847046,1.0,1.0
sac_plain,action_noise,1,0.05,-50.0,0.0,0.12263535386291502,50,1.184441960706863,1.0967249666425232,0.0,0.0
sac_plain_recovery,action_noise,1,0.05,-50.0,0.0,0.12827671732588508,50,1.0311850309371948,1.0117878913879395,0.0,1.0
sac_plain,action_scale,1,0.5,-50.0,0.0,0.11889040531496532,50,2.0734310150146484,1.519589900970459,1.0,0.0
sac_plain_recovery,action_scale,1,0.5,-50.0,0.0,0.12480882852195664,50,0.6912224292755127,0.7105530500411987,0.0,1.0
sac_plain,target_shift,1,0.03,-50.0,0.0,0.09548389412590913,50,1.1064449548721313,1.080915927886963,0.0,0.0
sac_plain_recovery,target_shift,1,0.03,-50.0,0.0,0.10440185505401246,50,1.2524778842926025,1.114141583442688,0.0,0.0
sac_plain,clean,2,0.0,-50.0,0.0,0.17920727095607433,50,0.0170123390853405,0.9694451093673706,0.0,0.0
sac_plain,sensor_noise,2,0.01,-50.0,0.0,0.16658114102143043,50,0.5030782222747803,1.024509310722351,0.0,0.0
sac_plain_recovery,sensor_noise,2,0.01,-50.0,0.0,0.1592523685070974,50,0.5762946605682373,1.0369237661361694,0.0,0.0
sac_plain,sensor_noise,2,0.05,-50.0,0.0,0.08943565947432058,50,1.4231842756271362,1.3057069778442383,1.0,0.0
sac_plain_recovery,sensor_noise,2,0.05,-50.0,0.0,0.12357353697323535,50,1.4292389154434204,1.1766583919525146,0.0,1.0
sac_plain,action_noise,2,0.05,-50.0,0.0,0.18577871806660545,50,0.17843900187974254,0.9755482962261398,0.0,0.0
sac_plain_recovery,action_noise,2,0.05,-50.0,0.0,0.17343793147891992,50,0.19990971684455872,0.9435548186302185,0.0,1.0
sac_plain,action_scale,2,0.5,-50.0,0.0,0.18885186445540172,50,0.03208441287279129,1.019513726234436,0.0,0.0
sac_plain_recovery,action_scale,2,0.5,-50.0,0.0,0.1877402702332213,50,0.03458318114280701,0.9592095017433167,0.0,1.0
sac_plain,target_shift,2,0.03,-50.0,0.0,0.17975745390878153,50,0.10893987119197845,0.973540186882019,0.0,0.0
sac_plain_recovery,target_shift,2,0.03,-50.0,0.0,0.18303256382045552,50,0.09716611355543137,0.9728695154190063,0.0,0.0
