method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used
random,clean,0,0.0,-50.0,0.0,0.2425129571398783,50,1.501391053199768,1.0888060331344604,1.0,0.0
random,sensor_noise,0,0.01,-50.0,0.0,0.22428515017476952,50,1.5423247814178467,1.075750708580017,1.0,0.0
random_recovery,sensor_noise,0,0.01,-49.0,1.0,0.14694358918559203,50,1.5726912021636963,1.1717342138290405,1.0,0.0
random,sensor_noise,0,0.05,-50.0,0.0,0.294197048528815,50,1.705417275428772,1.1774511337280273,0.0,0.0
random_recovery,sensor_noise,0,0.05,-50.0,0.0,0.3003149168868416,50,1.330173373222351,0.923389732837677,1.0,1.0
random,action_noise,0,0.05,-50.0,0.0,0.12371572550227454,50,1.5009136838648611,1.1440117749734695,1.0,0.0
random_recovery,action_noise,0,0.05,-50.0,0.0,0.28730428523580503,50,1.1322919130325317,0.8217637538909912,1.0,1.0
random,action_scale,0,0.5,-50.0,0.0,0.24498202405541133,50,2.0724825859069824,1.4657903909683228,1.0,0.0
random_recovery,action_scale,0,0.5,-50.0,0.0,0.24534705854701597,50,1.0410795211791992,0.7472323775291443,0.0,1.0
random,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0
random_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,1.0
random,target_shift,0,0.03,-50.0,0.0,0.2765990209031224,50,1.5233795642852783,1.1447762250900269,1.0,0.0
random_recovery,target_shift,0,0.03,-50.0,0.0,0.2981008480757565,50,0.928790807723999,0.6925365924835205,1.0,1.0
rule_based,clean,0,0.0,-6.0,1.0,0.02214139054767424,50,0.014896277338266373,0.17206940054893494,0.0,0.0
rule_based,sensor_noise,0,0.01,-6.0,1.0,0.023161094409526295,50,0.17367343604564667,0.21885982155799866,0.0,0.0
rule_based_recovery,sensor_noise,0,0.01,-6.0,1.0,0.02268037886724762,50,0.1656837910413742,0.21375204622745514,0.0,0.0
rule_based,sensor_noise,0,0.05,-10.0,1.0,0.03355825553251293,50,0.847942054271698,0.6162140965461731,0.0,0.0
rule_based_recovery,sensor_noise,0,0.05,-24.0,1.0,0.038199341438170324,50,0.8834243416786194,0.6685550212860107,0.0,1.0
rule_based,action_noise,0,0.05,-6.0,1.0,0.022125553169462794,50,0.1371061119293158,0.19550664424995362,0.0,0.0
rule_based_recovery,action_noise,0,0.05,-6.0,1.0,0.022433211370714558,50,0.121535524725914,0.19306087493896484,0.0,1.0
rule_based,action_scale,0,0.5,-4.0,1.0,0.021932796786414615,50,0.021898824721574783,0.2274859994649887,0.0,0.0
rule_based_recovery,action_scale,0,0.5,-8.0,1.0,0.02193501716472772,50,0.01720569282770157,0.2131742537021637,0.0,1.0
rule_based,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0
rule_based_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,1.0
rule_based,target_shift,0,0.03,-6.0,1.0,0.022206399031572614,50,0.11886615306138992,0.2030842900276184,0.0,0.0
rule_based_recovery,target_shift,0,0.03,-6.0,1.0,0.02226900754438305,50,0.12460458278656006,0.21015805006027222,0.0,0.0
sac_her,clean,0,0.0,-2.0,1.0,0.02052983247760015,50,0.03709515929222107,0.9207416772842407,1.0,0.0
sac_her,sensor_noise,0,0.01,-2.0,1.0,0.021601469120263634,50,1.1578726768493652,1.2181501388549805,1.0,0.0
sac_her_recovery,sensor_noise,0,0.01,-2.0,1.0,0.03208952938806161,50,1.179172158241272,1.2016710042953491,1.0,0.0
sac_her,sensor_noise,0,0.05,-23.0,1.0,0.055268195492881415,50,2.028749942779541,1.6421213150024414,1.0,0.0
sac_her_recovery,sensor_noise,0,0.05,-41.0,1.0,0.06015702688698913,50,2.0451083183288574,1.5428005456924438,1.0,1.0
sac_her,action_noise,0,0.05,-2.0,1.0,0.020322807948316424,50,0.17924074588760502,0.9126139660644269,1.0,0.0
sac_her_recovery,action_noise,0,0.05,-2.0,1.0,0.021235910292128624,50,0.2015954852104187,0.8945701122283936,1.0,1.0
sac_her,action_scale,0,0.5,-2.0,1.0,0.020317572395399882,50,0.102388896048069,1.063645839691162,1.0,0.0
sac_her_recovery,action_scale,0,0.5,-4.0,1.0,0.02031757296916758,50,0.05519012361764908,1.0004650354385376,0.0,1.0
sac_her,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0
sac_her_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,1.0
sac_her,target_shift,0,0.03,-2.0,1.0,0.022975484366940448,50,0.6432347297668457,1.0448323488235474,1.0,0.0
sac_her_recovery,target_shift,0,0.03,-2.0,1.0,0.021296518344298368,50,0.5541070699691772,1.0133347511291504,1.0,0.0
random,clean,1,0.0,-50.0,0.0,0.279205653333393,50,1.505867600440979,1.1195987462997437,1.0,0.0
random,sensor_noise,1,0.01,-44.0,1.0,0.06250522157448685,50,1.545925259590149,1.156978964805603,1.0,0.0
random_recovery,sensor_noise,1,0.01,-50.0,0.0,0.3168737292999539,50,1.2962137460708618,0.9247138500213623,1.0,1.0
random,sensor_noise,1,0.05,-50.0,0.0,0.4177582730332795,50,1.3655084371566772,0.9957720041275024,1.0,0.0
random_recovery,sensor_noise,1,0.05,-50.0,0.0,0.1481543263905202,50,1.4743316173553467,1.0218733549118042,1.0,1.0
random,action_noise,1,0.05,-50.0,0.0,0.12281955773932486,50,1.479080117836826,1.081944505353107,1.0,0.0
random_recovery,action_noise,1,0.05,-50.0,0.0,0.09056999430595992,50,1.5432260036468506,1.1526007652282715,1.0,0.0
random,action_scale,1,0.5,-50.0,0.0,0.47469461015425063,50,2.1606757640838623,1.513965129852295,1.0,0.0
random_recovery,action_scale,1,0.5,-50.0,0.0,0.2272647691063821,50,1.0265556573867798,0.715639054775238,0.0,1.0
random,action_delay,1,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0
random_recovery,action_delay,1,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,1.0
random,target_shift,1,0.03,-50.0,0.0,0.16464174004880539,50,1.4609079360961914,1.0725125074386597,1.0,0.0
random_recovery,target_shift,1,0.03,-50.0,0.0,0.29065904087093014,50,1.1461530923843384,0.8396468162536621,1.0,1.0
rule_based,clean,1,0.0,-6.0,1.0,0.0008745577086456405,50,0.017633169889450073,0.1044882982969284,0.0,0.0
rule_based,sensor_noise,1,0.01,-7.0,1.0,0.007756107354710729,50,0.17021790146827698,0.18637332320213318,0.0,0.0
rule_based_recovery,sensor_noise,1,0.01,-7.0,1.0,0.006085993763868042,50,0.16940663754940033,0.1761491745710373,0.0,0.0
rule_based,sensor_noise,1,0.05,-11.0,1.0,0.024371075008573512,50,0.8644551038742065,0.699216902256012,0.0,0.0
rule_based_recovery,sensor_noise,1,0.05,-16.0,1.0,0.014362974438581137,50,0.8615069389343262,0.5837100744247437,0.0,1.0
rule_based,action_noise,1,0.05,-7.0,1.0,0.006349692727710058,50,0.1435910401739538,0.16961992151255192,0.0,0.0
rule_based_recovery,action_noise,1,0.05,-6.0,1.0,0.004843128750310275,50,0.13776686787605286,0.16322900354862213,0.0,0.0
rule_based,action_scale,1,0.5,-4.0,1.0,0.0005899476829913135,50,0.026210365816950798,0.10578665882349014,0.0,0.0
rule_based_recovery,action_scale,1,0.5,-8.0,1.0,0.0005898913795705528,50,0.020919496193528175,0.10528076440095901,0.0,1.0
rule_based,action_delay,1,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0
rule_based_recovery,action_delay,1,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,1.0
rule_based,target_shift,1,0.03,-6.0,1.0,0.018499245092494288,50,0.11268586665391922,0.17008870840072632,0.0,0.0
rule_based_recovery,target_shift,1,0.03,-6.0,1.0,0.006288367091112257,50,0.14026466012001038,0.18450941145420074,0.0,0.0
sac_her,clean,1,0.0,-2.0,1.0,0.013581583142305698,50,0.04345318675041199,0.7060568332672119,1.0,0.0
sac_her,sensor_noise,1,0.01,-2.0,1.0,0.005638428023786311,50,1.421644926071167,1.1266100406646729,1.0,0.0
sac_her_recovery,sensor_noise,1,0.01,-3.0,1.0,0.023389277003105256,50,1.2441425323486328,1.1106961965560913,1.0,0.0
sac_her,sensor_noise,1,0.05,-31.0,1.0,0.03487335389378822,50,1.9851796627044678,1.5934312343597412,1.0,0.0
sac_her_recovery,sensor_noise,1,0.05,-31.0,1.0,0.015147487650441358,50,2.1384105682373047,1.6005096435546875,1.0,1.0
sac_her,action_noise,1,0.05,-2.0,1.0,0.0130009549561715,50,0.16441804395441162,0.7069159120439827,1.0,0.0
sac_her_recovery,action_noise,1,0.05,-3.0,1.0,0.013743542853715084,50,0.21622180938720703,0.6710548400878906,1.0,1.0
sac_her,action_scale,1,0.5,-2.0,1.0,0.01400893024402674,50,0.08007961511611938,1.009095311164856,1.0,0.0
sac_her_recovery,action_scale,1,0.5,-5.0,1.0,0.01332614912060614,50,0.0297187902033329,0.5359642505645752,0.0,1.0
sac_her,action_delay,1,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0
sac_her_recovery,action_delay,1,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,1.0
sac_her,target_shift,1,0.03,-2.0,1.0,0.025703814352182115,50,0.6620704531669617,0.8685722351074219,1.0,0.0
sac_her_recovery,target_shift,1,0.03,-2.0,1.0,0.02457888120467737,50,0.735500156879425,0.8643614053726196,1.0,0.0
random,clean,2,0.0,-50.0,0.0,0.26513244901949834,50,1.5897440910339355,1.1508311033248901,1.0,0.0
random,sensor_noise,2,0.01,-45.0,1.0,0.14602547976009558,50,1.585038661956787,1.1610835790634155,1.0,0.0
random_recovery,sensor_noise,2,0.01,-50.0,0.0,0.24316830626002114,50,1.5436639785766602,1.1097487211227417,1.0,1.0
random,sensor_noise,2,0.05,-49.0,1.0,0.30080826591432774,50,1.5676484107971191,1.130000114440918,1.0,0.0
random_recovery,sensor_noise,2,0.05,-45.0,1.0,0.11197172415637173,50,1.342463731765747,0.9960471987724304,1.0,1.0
random,action_noise,2,0.05,-50.0,0.0,0.23102058025527425,50,1.5518173455638864,1.1559862211754026,1.0,0.0
random_recovery,action_noise,2,0.05,-50.0,0.0,0.21826700780694575,50,1.3323721885681152,0.9472686052322388,1.0,1.0
random,action_scale,2,0.5,-50.0,0.0,0.2279587210404276,50,1.8681877851486206,1.453782320022583,1.0,0.0
random_recovery,action_scale,2,0.5,-50.0,0.0,0.31744985152490146,50,1.132545828819275,0.7978470325469971,0.0,1.0
random,action_delay,2,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0
random_recovery,action_delay,2,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,1.0
random,target_shift,2,0.03,-50.0,0.0,0.3785577907599637,50,1.471350073814392,1.0672342777252197,1.0,0.0
random_recovery,target_shift,2,0.03,-50.0,0.0,0.22271856337873644,50,1.5156351327896118,1.105462670326233,1.0,0.0
rule_based,clean,2,0.0,-5.0,1.0,0.0008531807570535489,50,0.013494925573468208,0.08293560147285461,0.0,0.0
rule_based,sensor_noise,2,0.01,-5.0,1.0,0.0029735508077535036,50,0.15218956768512726,0.16145698726177216,0.0,0.0
rule_based_recovery,sensor_noise,2,0.01,-5.0,1.0,0.008680271852751885,50,0.16368073225021362,0.16298146545886993,0.0,0.0
rule_based,sensor_noise,2,0.05,-6.0,1.0,0.04355158522483378,50,0.8292197585105896,0.5831512212753296,0.0,0.0
rule_based_recovery,sensor_noise,2,0.05,-6.0,1.0,0.030117601643550984,50,0.8895151019096375,0.617750883102417,0.0,1.0
rule_based,action_noise,2,0.05,-6.0,1.0,0.0047755174633017615,50,0.13298886237185775,0.14936777954094238,0.0,0.0
rule_based_recovery,action_noise,2,0.05,-5.0,1.0,0.004765350967911333,50,0.13509266078472137,0.14217180013656616,0.0,1.0
rule_based,action_scale,2,0.5,-3.0,1.0,0.000565751763820248,50,0.020276762545108795,0.0834803655743599,0.0,0.0
rule_based_recovery,action_scale,2,0.5,-7.0,1.0,0.0005657759817503506,50,0.01707221008837223,0.08330073207616806,0.0,1.0
rule_based,action_delay,2,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0
rule_based_recovery,action_delay,2,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,1.0
rule_based,target_shift,2,0.03,-5.0,1.0,0.010584118900887143,50,0.13116419315338135,0.15155592560768127,0.0,0.0
rule_based_recovery,target_shift,2,0.03,-5.0,1.0,0.0021625608104000335,50,0.12797167897224426,0.15284310281276703,0.0,0.0
sac_her,clean,2,0.0,-1.0,1.0,0.016036494909715315,50,0.039569128304719925,0.3708913326263428,1.0,0.0
sac_her,sensor_noise,2,0.01,-2.0,1.0,0.020193754741180393,50,1.5587331056594849,1.0782495737075806,1.0,0.0
sac_her_recovery,sensor_noise,2,0.01,-4.0,1.0,0.01655277174508304,50,1.7986431121826172,1.1509501934051514,1.0,0.0
sac_her,sensor_noise,2,0.05,-32.0,1.0,0.04064328526352568,50,2.0294177532196045,1.6848148107528687,1.0,0.0
sac_her_recovery,sensor_noise,2,0.05,-30.0,1.0,0.02898774942312971,50,2.03102445602417,1.5779597759246826,1.0,1.0
