method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
random,goal_spoof_immediate,0.1,0.1,-49.766666666666666,0.2402641847780272,50.0,1.5562870939572653,1.1276664058367412,1.0,0.0,30,0.1,0.4356431991644192,0.1,0.0,0.0,0.1271286398328838,0.1221286398328838,0.1221286398328838
random,goal_spoof_midep,0.1,0.0666666666666666,-49.6,0.255483148178877,50.0,1.540991751352946,1.116411523024241,1.0,0.0,30,0.0666666666666666,0.4291476285190175,0.0666666666666666,0.0,0.0,0.1124961923704701,0.1091628590371368,0.1091628590371368
random,sensor_bias,0.1,0.1333333333333333,-49.46666666666667,0.2243497729272311,50.0,1.5571393569310503,1.1230180978775024,1.0,0.0,30,0.1333333333333333,0.4463252940801218,0.1333333333333333,0.0,0.0,0.1425983921493577,0.135931725482691,0.135931725482691
random,sensor_dropout,0.0,0.1333333333333333,-49.266666666666666,0.2406100726776573,50.0,1.5508904337882996,1.1155591050783793,1.0,0.0,30,0.1333333333333333,0.4367925746312405,0.1333333333333333,0.0,0.0,0.1406918482595814,0.1340251815929148,0.1340251815929148
random_recovery,goal_spoof_immediate,0.1,0.0666666666666666,-49.93333333333333,0.2314095943297529,50.0,1.337055363257726,0.964301731189092,0.9,0.6,30,0.0666666666666666,0.4980249351586044,0.0666666666666666,0.0999999999999999,0.6,0.2662716536983875,0.3179383203650542,0.3179383203650542
random_recovery,goal_spoof_midep,0.1,0.2,-49.333333333333336,0.2325242186305974,50.0,1.2749256908893585,0.9194003979365032,0.9,0.7333333333333333,30,0.2,0.5132213935131622,0.2,0.0999999999999999,0.7333333333333333,0.3493109453692991,0.4076442787026324,0.4076442787026324
random_recovery,sensor_bias,0.1,0.2333333333333333,-48.46666666666667,0.2211894466245762,50.0,1.3390922566254937,0.9680494407812754,0.9333333333333332,0.6,30,0.2333333333333333,0.5045022738022996,0.2333333333333333,0.0666666666666666,0.6,0.3275671214271266,0.3725671214271266,0.3725671214271266
random_recovery,sensor_dropout,0.0,0.2,-48.766666666666666,0.2137307856432075,50.0,1.3727295041084289,0.9888501187165578,0.9333333333333332,0.6,30,0.2,0.5009705138074358,0.2,0.0666666666666666,0.6,0.3135274360948205,0.3601941027614871,0.3601941027614871
rule_based,goal_spoof_immediate,0.1,0.4666666666666667,-43.3,0.0810725680829541,50.0,0.0163654432011146,0.1601242965708175,0.0,0.0,30,0.4666666666666667,0.9402630809069984,0.4666666666666667,1.0,0.0,0.5747192828480664,0.501385949514733,0.501385949514733
rule_based,goal_spoof_midep,0.1,1.0,-27.266666666666666,0.0875459598134362,50.0,0.0329312987004716,0.1785501743356386,0.0,0.0,30,1.0,0.9315734899407871,1.0,1.0,0.0,0.7863146979881575,0.6863146979881575,0.6863146979881575
rule_based,sensor_bias,0.1,1.0,-5.233333333333333,0.0027702568189493,50.0,0.0147207494359462,0.0972833077112833,0.0,0.0,30,1.0,0.9943209490228352,1.0,1.0,0.0,0.7988641898045672,0.6988641898045671,0.6988641898045671
rule_based,sensor_dropout,0.0,1.0,-5.233333333333333,0.0027702568189493,50.0,0.0147207494359462,0.0972833077112833,0.0,0.0,30,1.0,0.9943209490228352,1.0,1.0,0.0,0.7988641898045672,0.6988641898045671,0.6988641898045671
rule_based_recovery,goal_spoof_immediate,0.1,0.3,-43.1,0.0945805418263181,50.0,0.0165240460075437,0.130075669599076,0.0,0.1333333333333333,30,0.3,0.9309696711318526,0.3,1.0,0.1333333333333333,0.5328606008930372,0.4811939342263705,0.4811939342263705
