method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
random,action_clipping,0,0.3,-50.0,0.0,0.3631801828319278,50,0.6290161609649658,0.522773802280426,0.0,0.0,0
random_recovery,action_clipping,0,0.3,-7.0,1.0,0.030859768101599017,50,0.25165247917175293,0.2758128046989441,0.0,1.0,0
random,action_clipping,0,0.3,-50.0,0.0,0.12086928967396043,50,0.7184358835220337,0.5306112170219421,0.0,0.0,1
random_recovery,action_clipping,0,0.3,-7.0,1.0,0.0007225598689246182,50,0.125512957572937,0.15842370688915253,0.0,1.0,1
random,action_clipping,0,0.3,-50.0,0.0,0.10589038956410728,50,0.7712227702140808,0.5423362255096436,0.0,0.0,2
random_recovery,action_clipping,0,0.3,-6.0,1.0,0.010505195099066429,50,0.24248658120632172,0.21466410160064697,0.0,1.0,2
random,action_clipping,0,0.3,-50.0,0.0,0.15583419631089776,50,0.7422813773155212,0.5391684174537659,0.0,0.0,3
random_recovery,action_clipping,0,0.3,-9.0,1.0,0.001849915318955887,50,0.1746332347393036,0.21139197051525116,0.0,1.0,3
random,action_clipping,0,0.3,-50.0,0.0,0.21335082009354747,50,0.7390672564506531,0.5291829705238342,0.0,0.0,4
random_recovery,action_clipping,0,0.3,-10.0,1.0,0.003941721868568662,50,0.23728716373443604,0.2672237157821655,0.0,1.0,4
random,action_clipping,0,0.3,-50.0,0.0,0.12612753436495822,50,0.7418308854103088,0.535237193107605,0.0,0.0,5
random_recovery,action_clipping,0,0.3,-7.0,1.0,0.0030426712242278774,50,0.2540818452835083,0.2201029360294342,0.0,1.0,5
random,action_clipping,0,0.3,-34.0,1.0,0.07689012395858139,50,0.7585541009902954,0.5399424433708191,0.0,0.0,6
random_recovery,action_clipping,0,0.3,-3.0,1.0,0.02623874673254809,50,0.18091829121112823,0.1741153746843338,0.0,1.0,6
random,action_clipping,0,0.3,-50.0,0.0,0.2641955059203743,50,0.7427035570144653,0.5392029285430908,0.0,0.0,7
random_recovery,action_clipping,0,0.3,-7.0,1.0,0.009047004013497959,50,0.27251264452934265,0.24922168254852295,0.0,1.0,7
random,action_clipping,0,0.3,-50.0,0.0,0.23498441840807385,50,0.7563731670379639,0.5184142589569092,0.0,0.0,8
random_recovery,action_clipping,0,0.3,-8.0,1.0,0.013044238524661186,50,0.22320862114429474,0.2247210144996643,0.0,1.0,8
random,action_clipping,0,0.3,-50.0,0.0,0.1876510641546918,50,0.7908780574798584,0.5275406837463379,0.0,0.0,9
random_recovery,action_clipping,0,0.3,-7.0,1.0,0.03394456554809702,50,0.28787824511528015,0.24789611995220184,0.0,1.0,9
rule_based,action_clipping,0,0.3,-9.0,1.0,0.022123682663622395,50,0.010334654711186886,0.16651692986488342,0.0,0.0,0
rule_based_recovery,action_clipping,0,0.3,-9.0,1.0,0.022123682663622395,50,0.010334654711186886,0.16651692986488342,0.0,0.0,0
rule_based,action_clipping,0,0.3,-9.0,1.0,0.0008713145492843003,50,0.009748978540301323,0.10510954260826111,0.0,0.0,1
rule_based_recovery,action_clipping,0,0.3,-9.0,1.0,0.0008713145492843003,50,0.009748978540301323,0.10510954260826111,0.0,1.0,1
rule_based,action_clipping,0,0.3,-6.0,1.0,0.0008551236356866728,50,0.011625174432992935,0.083411306142807,0.0,0.0,2
rule_based_recovery,action_clipping,0,0.3,-6.0,1.0,0.0008551236356866728,50,0.011625174432992935,0.083411306142807,0.0,0.0,2
rule_based,action_clipping,0,0.3,-8.0,1.0,0.002608114649558241,50,0.011903730221092701,0.11330971866846085,0.0,0.0,3
rule_based_recovery,action_clipping,0,0.3,-8.0,1.0,0.002608114649558241,50,0.011903730221092701,0.11330971866846085,0.0,0.0,3
rule_based,action_clipping,0,0.3,-11.0,1.0,0.0007857952364548728,50,0.009085370227694511,0.12426065653562546,0.0,0.0,4
rule_based_recovery,action_clipping,0,0.3,-11.0,1.0,0.0007857952364548728,50,0.009085370227694511,0.12426065653562546,0.0,0.0,4
rule_based,action_clipping,0,0.3,-6.0,1.0,0.0007132480351904562,50,0.00884207896888256,0.08099181205034256,0.0,0.0,5
rule_based_recovery,action_clipping,0,0.3,-6.0,1.0,0.0007132480351904562,50,0.00884207896888256,0.08099181205034256,0.0,0.0,5
rule_based,action_clipping,0,0.3,-1.0,1.0,0.0008440186729650472,50,0.006416714284569025,0.03861391916871071,0.0,0.0,6
rule_based_recovery,action_clipping,0,0.3,-1.0,1.0,0.0008440186729650472,50,0.006416714284569025,0.03861391916871071,0.0,1.0,6
rule_based,action_clipping,0,0.3,-7.0,1.0,0.0007471917167580633,50,0.011378017254173756,0.09383656829595566,0.0,0.0,7
rule_based_recovery,action_clipping,0,0.3,-7.0,1.0,0.0007471917167580633,50,0.011378017254173756,0.09383656829595566,0.0,0.0,7
rule_based,action_clipping,0,0.3,-9.0,1.0,0.0008876292510061653,50,0.01233719289302826,0.10310611873865128,0.0,0.0,8
rule_based_recovery,action_clipping,0,0.3,-9.0,1.0,0.0008876292510061653,50,0.01233719289302826,0.10310611873865128,0.0,1.0,8
rule_based,action_clipping,0,0.3,-6.0,1.0,0.0006710090330574192,50,0.010755805298686028,0.08388716727495193,0.0,0.0,9
rule_based_recovery,action_clipping,0,0.3,-6.0,1.0,0.0006710090330574192,50,0.010755805298686028,0.08388716727495193,0.0,0.0,9
