method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered,episode_idx
random,action_clipping,0,0.3,0,-1.0,0.15247638781614326,0.0,0.5619515180587769,0.8517881035804749,0.0,0.0,0
random,action_clipping,0,0.3,1,-1.0,0.1520214419197237,0.0,0.5708562135696411,0.8347923159599304,0.0,0.0,0
random,action_clipping,0,0.3,2,-1.0,0.15577069649709185,0.0,0.6000000238418579,1.4160114526748657,0.0,0.0,0
random,action_clipping,0,0.3,3,-1.0,0.14538085881599988,0.0,0.6000000238418579,1.1779003143310547,0.0,0.0,0
random,action_clipping,0,0.3,4,-1.0,0.14934226333376213,0.0,0.6000000238418579,0.8768730163574219,0.0,0.0,0
random,action_clipping,0,0.3,5,-1.0,0.15685998135331208,0.0,0.4423312842845917,0.9692884087562561,0.0,0.0,0
random,action_clipping,0,0.3,6,-1.0,0.16896068396457697,0.0,0.5843830108642578,0.9630277156829834,0.0,0.0,0
random,action_clipping,0,0.3,7,-1.0,0.18009131417788318,0.0,0.5707578063011169,1.129785418510437,0.0,0.0,0
random,action_clipping,0,0.3,8,-1.0,0.17061879255604348,0.0,0.6000000238418579,1.6671563386917114,0.0,0.0,0
random,action_clipping,0,0.3,9,-1.0,0.17045852972675085,0.0,0.5013080835342407,1.185702919960022,0.0,0.0,0
random,action_clipping,0,0.3,10,-1.0,0.1807995614473642,0.0,0.45284903049468994,0.7617390751838684,0.0,0.0,0
random,action_clipping,0,0.3,11,-1.0,0.18902659843362057,0.0,0.46234673261642456,1.0491331815719604,0.0,0.0,0
random,action_clipping,0,0.3,12,-1.0,0.19862934276033825,0.0,0.6000000238418579,1.4309108257293701,0.0,0.0,0
random,action_clipping,0,0.3,13,-1.0,0.20118498400082202,0.0,0.4387582540512085,1.1168853044509888,0.0,0.0,0
random,action_clipping,0,0.3,14,-1.0,0.20119562750145745,0.0,0.4287310540676117,0.6945455074310303,0.0,0.0,0
random,action_clipping,0,0.3,15,-1.0,0.20020363904334032,0.0,0.45619654655456543,0.5952708721160889,0.0,0.0,0
random,action_clipping,0,0.3,16,-1.0,0.20791349020480604,0.0,0.5577637553215027,0.9579243659973145,0.0,0.0,0
random,action_clipping,0,0.3,17,-1.0,0.20188569031308057,0.0,0.49145692586898804,1.100456714630127,0.0,0.0,0
random,action_clipping,0,0.3,18,-1.0,0.2122810908858689,0.0,0.5286902189254761,1.2783479690551758,0.0,0.0,0
random,action_clipping,0,0.3,19,-1.0,0.2247872172141177,0.0,0.5475594997406006,1.3196512460708618,0.0,0.0,0
random,action_clipping,0,0.3,20,-1.0,0.23821157683173422,0.0,0.583940863609314,1.1088876724243164,0.0,0.0,0
random,action_clipping,0,0.3,21,-1.0,0.24308192918781632,0.0,0.5857126712799072,0.9782644510269165,0.0,0.0,0
random,action_clipping,0,0.3,22,-1.0,0.23455917809001856,0.0,0.43389350175857544,1.0470014810562134,0.0,0.0,0
random,action_clipping,0,0.3,23,-1.0,0.24436295624028284,0.0,0.5207095146179199,1.2501747608184814,0.0,0.0,0
random,action_clipping,0,0.3,24,-1.0,0.2352801220576479,0.0,0.4542562961578369,0.9670768976211548,0.0,0.0,0
random,action_clipping,0,0.3,25,-1.0,0.22837041143516365,0.0,0.47754356265068054,1.065156102180481,0.0,0.0,0
random,action_clipping,0,0.3,26,-1.0,0.23783625648640289,0.0,0.5783433318138123,0.8610737323760986,0.0,0.0,0
random,action_clipping,0,0.3,27,-1.0,0.24934660259177396,0.0,0.4997142255306244,1.0489438772201538,0.0,0.0,0
random,action_clipping,0,0.3,28,-1.0,0.24973628930576444,0.0,0.33188629150390625,0.922109842300415,0.0,0.0,0
random,action_clipping,0,0.3,29,-1.0,0.25193914019285646,0.0,0.44052863121032715,0.7476896643638611,0.0,0.0,0
random,action_clipping,0,0.3,30,-1.0,0.2565645176412114,0.0,0.6000000238418579,1.2606260776519775,0.0,0.0,0
random,action_clipping,0,0.3,31,-1.0,0.26669178072907773,0.0,0.502779483795166,0.9945139288902283,0.0,0.0,0
random,action_clipping,0,0.3,32,-1.0,0.27950493532291537,0.0,0.5626053810119629,1.2293204069137573,0.0,0.0,0
random,action_clipping,0,0.3,33,-1.0,0.29286910127814464,0.0,0.535658061504364,1.3005831241607666,0.0,0.0,0
random,action_clipping,0,0.3,34,-1.0,0.28242397198200286,0.0,0.5118414759635925,1.100050926208496,0.0,0.0,0
random,action_clipping,0,0.3,35,-1.0,0.289128697180055,0.0,0.49036428332328796,1.132130742073059,0.0,0.0,0
random,action_clipping,0,0.3,36,-1.0,0.29801632390485944,0.0,0.4286293089389801,1.0843195915222168,0.0,0.0,0
random,action_clipping,0,0.3,37,-1.0,0.3108948250499263,0.0,0.6000000238418579,1.459432601928711,0.0,0.0,0
random,action_clipping,0,0.3,38,-1.0,0.3245106081543989,0.0,0.5324696898460388,1.5736843347549438,0.0,0.0,0
random,action_clipping,0,0.3,39,-1.0,0.33285528330618863,0.0,0.5471174120903015,1.17697012424469,0.0,0.0,0
random,action_clipping,0,0.3,40,-1.0,0.3229386309830023,0.0,0.5226287245750427,1.1838141679763794,0.0,0.0,0
random,action_clipping,0,0.3,41,-1.0,0.308949147910655,0.0,0.5320824980735779,1.323650598526001,0.0,0.0,0
random,action_clipping,0,0.3,42,-1.0,0.31638411087980867,0.0,0.5356115698814392,1.3047882318496704,0.0,0.0,0
random,action_clipping,0,0.3,43,-1.0,0.3247507941383642,0.0,0.6000000238418579,1.5126125812530518,0.0,0.0,0
random,action_clipping,0,0.3,44,-1.0,0.33296584296380183,0.0,0.5539218187332153,1.1950578689575195,0.0,0.0,0
random,action_clipping,0,0.3,45,-1.0,0.3428983983945435,0.0,0.6000000238418579,1.358535885810852,0.0,0.0,0
random,action_clipping,0,0.3,46,-1.0,0.3411075222037271,0.0,0.5349696278572083,1.0954134464263916,0.0,0.0,0
random,action_clipping,0,0.3,47,-1.0,0.3493600809218473,0.0,0.4561121463775635,1.0951935052871704,0.0,0.0,0
random,action_clipping,0,0.3,48,-1.0,0.3531769725001924,0.0,0.38942950963974,0.40986567735671997,0.0,0.0,0
random,action_clipping,0,0.3,49,-1.0,0.3631801828319278,0.0,0.6000000238418579,1.1768771409988403,0.0,0.0,0
random_recovery,action_clipping,0,0.3,0,-1.0,0.14527511045785893,0.0,0.6000000238418579,1.5579416751861572,0.0,0.0,0
random_recovery,action_clipping,0,0.3,1,-1.0,0.12173222263211161,0.0,0.7263756990432739,1.26569664478302,0.0,1.0,0
random_recovery,action_clipping,0,0.3,2,-1.0,0.10114802053095061,0.0,0.6086611747741699,1.0494890213012695,0.0,1.0,0
random_recovery,action_clipping,0,0.3,3,-1.0,0.08411677852902384,0.0,0.505740225315094,1.090236783027649,0.0,1.0,0
random_recovery,action_clipping,0,0.3,4,-1.0,0.07150981440965086,0.0,0.5225223898887634,1.0753166675567627,0.0,0.0,0
random_recovery,action_clipping,0,0.3,5,-1.0,0.05967173997625278,0.0,0.3575489819049835,1.3050192594528198,0.0,1.0,0
random_recovery,action_clipping,0,0.3,6,-0.0,0.049567769986585346,1.0,0.29835861921310425,1.4642153978347778,0.0,1.0,0
random_recovery,action_clipping,0,0.3,7,-0.0,0.04118710819035172,1.0,0.24783889949321747,1.16726553440094,0.0,1.0,0
random_recovery,action_clipping,0,0.3,8,-0.0,0.034209814915199886,1.0,0.20593559741973877,1.2986421585083008,0.0,1.0,0
random_recovery,action_clipping,0,0.3,9,-0.0,0.02840294342954323,1.0,0.1710490733385086,0.959017813205719,0.0,1.0,0
random_recovery,action_clipping,0,0.3,10,-0.0,0.024341965889387748,1.0,0.14201463758945465,1.0873961448669434,0.0,1.0,0
random_recovery,action_clipping,0,0.3,11,-0.0,0.024226064855597456,1.0,0.12170971184968948,1.0721795558929443,0.0,1.0,0
