method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
random,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
random_recovery,action_delay,0,0.0,-50.0,0.0,0.15326543860079836,50,0.0,0.0,0.0,0.0,0
random,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
random_recovery,action_delay,0,0.0,-50.0,0.0,0.16801074336107993,50,0.0,0.0,0.0,0.0,1
random,action_delay,0,0.0,-50.0,0.0,0.1383211673588929,50,0.0,0.0,0.0,0.0,2
random_recovery,action_delay,0,0.0,-13.0,1.0,0.00441216843853189,50,0.06320709735155106,0.3097407817840576,0.0,1.0,2
random,action_delay,0,0.0,-50.0,0.0,0.17710007955540227,50,0.0,0.0,0.0,0.0,3
random_recovery,action_delay,0,0.0,-16.0,1.0,0.005134249357466924,50,0.07868719846010208,0.3861003816127777,0.0,1.0,3
random,action_delay,0,0.0,-50.0,0.0,0.19977532539988369,50,0.0,0.0,0.0,0.0,4
random_recovery,action_delay,0,0.0,-17.0,1.0,0.003582799970906743,50,0.0848567932844162,0.4158882796764374,0.0,1.0,4
random,action_delay,0,0.0,-50.0,0.0,0.12996253277531,50,0.0,0.0,0.0,0.0,5
random_recovery,action_delay,0,0.0,-50.0,0.0,0.11007849728497382,50,0.013261420652270317,0.012996192090213299,0.0,1.0,5
random,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
random_recovery,action_delay,0,0.0,-50.0,0.0,0.058050330961012135,50,0.0,0.0,0.0,0.0,6
random,action_delay,0,0.0,-50.0,0.0,0.15357189702501559,50,0.0,0.0,0.0,0.0,7
random_recovery,action_delay,0,0.0,-16.0,1.0,0.004828060562561178,50,0.07188163697719574,0.3522447645664215,0.0,1.0,7
random,action_delay,0,0.0,-50.0,0.0,0.16246990561941158,50,0.0,0.0,0.0,0.0,8
