method,condition,seed,attack_level,timestep,reward,distance_to_goal,is_success,action_norm,intended_action_norm,safety_violation,recovery_triggered,episode_idx
random,action_delay,0,0.0,0,-1.0,0.15929485682356848,0.0,0.0,0.8901880383491516,0.0,0.0,0
random,action_delay,0,0.0,1,-1.0,0.15914150585048709,0.0,0.0,1.611661434173584,0.0,0.0,0
random,action_delay,0,0.0,2,-1.0,0.15899967629202025,0.0,0.0,1.4266595840454102,0.0,0.0,0
random,action_delay,0,0.0,3,-1.0,0.15886416680054155,0.0,0.0,1.2140357494354248,0.0,0.0,0
random,action_delay,0,0.0,4,-1.0,0.15873340775767536,0.0,0.0,0.9457108378410339,0.0,0.0,0
random,action_delay,0,0.0,5,-1.0,0.15860593436304138,0.0,0.0,0.8568364977836609,0.0,0.0,0
random,action_delay,0,0.0,6,-1.0,0.15848074626217618,0.0,0.0,1.0135425329208374,0.0,0.0,0
random,action_delay,0,0.0,7,-1.0,0.1583571424384308,0.0,0.0,0.6771523952484131,0.0,0.0,0
random,action_delay,0,0.0,8,-1.0,0.15823463754113745,0.0,0.0,1.3990976810455322,0.0,0.0,0
random,action_delay,0,0.0,9,-1.0,0.15811289399743522,0.0,0.0,0.5587993860244751,0.0,0.0,0
random,action_delay,0,0.0,10,-1.0,0.15799167547834436,0.0,0.0,1.1728894710540771,0.0,0.0,0
random,action_delay,0,0.0,11,-1.0,0.1578708151552327,0.0,0.0,1.369259238243103,0.0,0.0,0
random,action_delay,0,0.0,12,-1.0,0.1577501942558465,0.0,0.0,1.0368883609771729,0.0,0.0,0
random,action_delay,0,0.0,13,-1.0,0.15762972760291444,0.0,0.0,0.7613064050674438,0.0,0.0,0
random,action_delay,0,0.0,14,-1.0,0.1575093536585811,0.0,0.0,0.7039759159088135,0.0,0.0,0
random,action_delay,0,0.0,15,-1.0,0.15738902773179633,0.0,0.0,0.9680745005607605,0.0,0.0,0
random,action_delay,0,0.0,16,-1.0,0.15726871722507726,0.0,0.0,1.564721941947937,0.0,0.0,0
