method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
random,action_delay,0.0,0.03333333333333333,-48.333333333333336,0.1455590403317864,50.0,0.0,0.0,0.0,0.0,30,0.03333333333333333,0.9314344835440885,0.03333333333333333,1.0,0.0,0.399620230042151,0.34795356337548433,0.34795356337548433
random,action_reverse,0.0,0.2,-49.6,0.21674968889412474,50.0,1.5739082932472228,1.130362363656362,1.0,0.0,30,0.2,0.4979001625264329,0.2,0.0,0.0,0.1795800325052866,0.16958003250528658,0.16958003250528658
random_recovery,action_delay,0.0,0.5,-31.3,0.0764180757821295,50.0,0.03153686551377177,0.1528488504079481,0.0,0.5333333333333333,30,0.5,0.9559883836983044,0.5,1.0,0.5333333333333333,0.6978643434063275,0.6761976767396609,0.6761976767396609
random_recovery,action_reverse,0.0,1.0,-6.2,0.003685304753268121,50.0,0.06117526137580474,0.13131928419073421,0.06666666666666667,1.0,30,1.0,0.9827166880358396,1.0,0.9333333333333333,1.0,0.9832100042738348,0.986543337607168,0.986543337607168
rule_based,action_delay,0.0,0.03333333333333333,-48.333333333333336,0.1455590403317864,50.0,0.0,0.0,0.0,0.0,30,0.03333333333333333,0.9314344835440885,0.03333333333333333,1.0,0.0,0.399620230042151,0.34795356337548433,0.34795356337548433
rule_based,action_reverse,0.0,0.0,-50.0,1.2689272748863574,50.0,0.02904303331548969,1.5764461914698282,0.9666666666666667,0.0,30,0.0,0.39489128830581177,0.0,0.033333333333333326,0.0,0.08564492432782903,0.08397825766116236,0.08397825766116236
rule_based_recovery,action_delay,0.0,0.5,-31.3,0.0764180757821295,50.0,0.03153686551377177,0.1528488504079481,0.0,0.5333333333333333,30,0.5,0.9559883836983044,0.5,1.0,0.5333333333333333,0.6978643434063275,0.6761976767396609,0.6761976767396609
rule_based_recovery,action_reverse,0.0,1.0,-38.13333333333333,0.06577949321658957,50.0,0.21606164226929347,0.4474228819211324,0.1,1.0,30,1.0,0.9141037417825735,1.0,0.9,1.0,0.9628207483565148,0.9678207483565147,0.9678207483565147
sac_her,action_delay,0.0,0.03333333333333333,-48.333333333333336,0.1455590403317864,50.0,0.0,0.0,0.0,0.0,30,0.03333333333333333,0.9314344835440885,0.03333333333333333,1.0,0.0,0.399620230042151,0.34795356337548433,0.34795356337548433
sac_her,action_reverse,0.0,0.0,-50.0,1.2737514236508334,50.0,0.032814092410262674,1.939452878634135,1.0,0.0,30,0.0,0.3916604817317375,0.0,0.0,0.0,0.07833209634634751,0.07833209634634751,0.07833209634634751
sac_her_recovery,action_delay,0.0,0.5,-31.3,0.0764180757821295,50.0,0.03153686551377177,0.1528488504079481,0.0,0.5333333333333333,30,0.5,0.9559883836983044,0.5,1.0,0.5333333333333333,0.6978643434063275,0.6761976767396609,0.6761976767396609
sac_her_recovery,action_reverse,0.0,1.0,-17.233333333333334,0.005828363401004279,50.0,0.1345531145731608,0.44538277834653855,1.0,1.0,30,1.0,0.9630586298224258,1.0,0.0,1.0,0.7926117259644853,0.8426117259644852,0.8426117259644852
sac_plain,action_delay,0.0,0.03333333333333333,-48.333333333333336,0.1455590403317864,50.0,0.0,0.0,0.0,0.0,30,0.03333333333333333,0.9314344835440885,0.03333333333333333,1.0,0.0,0.399620230042151,0.34795356337548433,0.34795356337548433
sac_plain,action_reverse,0.0,0.0,-50.0,1.2737514236508334,50.0,0.032814092410262674,1.939452878634135,1.0,0.0,30,0.0,0.3916604817317375,0.0,0.0,0.0,0.07833209634634751,0.07833209634634751,0.07833209634634751
sac_plain_recovery,action_delay,0.0,0.5,-31.3,0.0764180757821295,50.0,0.03153686551377177,0.1528488504079481,0.0,0.5333333333333333,30,0.5,0.9559883836983044,0.5,1.0,0.5333333333333333,0.6978643434063275,0.6761976767396609,0.6761976767396609
sac_plain_recovery,action_reverse,0.0,1.0,-17.233333333333334,0.005828363401004279,50.0,0.1345531145731608,0.44538277834653855,1.0,1.0,30,1.0,0.9630586298224258,1.0,0.0,1.0,0.7926117259644853,0.8426117259644852,0.8426117259644852
