method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score
random,goal_spoof_immediate,0.1,0.1,-49.766666666666666,0.24026418477802727,50.0,1.5562870939572653,1.1276664058367412,1.0,0.0,30,0.1,0.4356431991644192,0.1,0.0,0.0,0.1439107997911048
random,goal_spoof_midep,0.1,0.06666666666666667,-49.6,0.2554831481788771,50.0,1.5409917513529459,1.116411523024241,1.0,0.0,30,0.06666666666666667,0.42914762851901744,0.06666666666666667,0.0,0.0,0.1306202404630877
random,sensor_bias,0.1,0.13333333333333333,-49.46666666666667,0.22434977292723118,50.0,1.5571393569310505,1.1230180978775024,1.0,0.0,30,0.13333333333333333,0.4463252940801217,0.13333333333333333,0.0,0.0,0.1582479901866971
random,sensor_dropout,0.0,0.13333333333333333,-49.266666666666666,0.24061007267765738,50.0,1.5508904337882996,1.1155591050783793,1.0,0.0,30,0.13333333333333333,0.43679257463124055,0.13333333333333333,0.0,0.0,0.1558648103244768
random_recovery,goal_spoof_immediate,0.1,0.06666666666666667,-49.93333333333333,0.23140959432975297,50.0,1.337055363257726,0.964301731189092,0.9,0.6,30,0.06666666666666667,0.4980249351586044,0.06666666666666667,0.09999999999999998,0.6,0.36283956712298443
random_recovery,goal_spoof_midep,0.1,0.2,-49.333333333333336,0.23252421863059744,50.0,1.2749256908893585,0.9194003979365031,0.9,0.7333333333333333,30,0.2,0.5132213935131622,0.2,0.09999999999999998,0.7333333333333333,0.4599720150449572
random_recovery,sensor_bias,0.1,0.23333333333333334,-48.46666666666667,0.22118944662457626,50.0,1.3390922566254935,0.9680494407812754,0.9333333333333333,0.6,30,0.23333333333333334,0.5045022738022996,0.23333333333333334,0.06666666666666665,0.6,0.4211255684505749
random_recovery,sensor_dropout,0.0,0.2,-48.766666666666666,0.2137307856432076,50.0,1.3727295041084289,0.9888501187165578,0.9333333333333333,0.6,30,0.2,0.5009705138074358,0.2,0.06666666666666665,0.6,0.4085759617851923
rule_based,goal_spoof_immediate,0.1,0.4666666666666667,-43.3,0.08107256808295418,50.0,0.016365443201114733,0.16012429657081764,0.0,0.0,30,0.4666666666666667,0.9402630809069983,0.4666666666666667,1.0,0.0,0.4483991035600829
rule_based,goal_spoof_midep,0.1,1.0,-27.266666666666666,0.08754595981343632,50.0,0.03293129870047172,0.1785501743356387,0.0,0.0,30,1.0,0.931573489940787,1.0,1.0,0.0,0.6328933724851968
