method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx
random,clean,0,0.0,-50.0,0.0,0.15243576963224684,50,1.5461053848266602,1.1116582155227661,1.0,0.0,0
random_recovery,clean,0,0.0,-7.0,1.0,0.02231767944610076,50,0.09720589220523834,0.2121497094631195,0.0,1.0,0
random,clean,0,0.0,-50.0,0.0,0.19435619555041048,50,1.5865941047668457,1.1624642610549927,1.0,0.0,1
random_recovery,clean,0,0.0,-8.0,1.0,0.0008739496770665708,50,0.06371577084064484,0.14832571148872375,0.0,1.0,1
random,clean,0,0.0,-48.0,1.0,0.09029166743786486,50,1.6768497228622437,1.184309482574463,1.0,0.0,2
random_recovery,clean,0,0.0,-6.0,1.0,0.0008538854273107829,50,0.032457731664180756,0.09471619874238968,0.0,1.0,2
random,clean,0,0.0,-50.0,0.0,0.290948398799828,50,1.5611813068389893,1.1493362188339233,1.0,0.0,3
random_recovery,clean,0,0.0,-9.0,1.0,0.002007307130301714,50,0.06910809874534607,0.1635393649339676,0.0,1.0,3
random,clean,0,0.0,-50.0,0.0,0.23727688124500745,50,1.6463555097579956,1.1378483772277832,1.0,0.0,4
random_recovery,clean,0,0.0,-7.0,1.0,0.0006445562631733185,50,0.06453162431716919,0.1485951840877533,0.0,1.0,4
random,clean,0,0.0,-50.0,0.0,0.21141173538444458,50,1.6357848644256592,1.1336191892623901,1.0,0.0,5
random_recovery,clean,0,0.0,-5.0,1.0,0.006213389065984693,50,0.08817075192928314,0.12660957872867584,0.0,1.0,5
random,clean,0,0.0,-48.0,1.0,0.3044186938177428,50,1.5489253997802734,1.1246380805969238,1.0,0.0,6
random_recovery,clean,0,0.0,-3.0,1.0,0.0008778139974961551,50,0.051887575536966324,0.08221494406461716,0.0,1.0,6
random,clean,0,0.0,-48.0,1.0,0.15710918145650682,50,1.5436862707138062,1.1307464838027954,1.0,0.0,7
random_recovery,clean,0,0.0,-7.0,1.0,0.0007485382396489123,50,0.06363379210233688,0.1270141303539276,0.0,1.0,7
random,clean,0,0.0,-50.0,0.0,0.32893461925521716,50,1.4870483875274658,1.0370638370513916,1.0,0.0,8
random_recovery,clean,0,0.0,-7.0,1.0,0.0008887447436361642,50,0.0428742878139019,0.11888518929481506,0.0,1.0,8
random,clean,0,0.0,-50.0,0.0,0.20585108106631914,50,1.525564432144165,1.143761157989502,1.0,0.0,9
random_recovery,clean,0,0.0,-6.0,1.0,0.0006412404650554765,50,0.06458650529384613,0.12047070264816284,0.0,1.0,9
rule_based,clean,0,0.0,-6.0,1.0,0.02214139054767424,50,0.014896277338266373,0.17206940054893494,0.0,0.0,0
rule_based_recovery,clean,0,0.0,-6.0,1.0,0.02214139054767424,50,0.014896277338266373,0.17206940054893494,0.0,0.0,0
rule_based,clean,0,0.0,-6.0,1.0,0.0008745577086456405,50,0.017633169889450073,0.1044882982969284,0.0,0.0,1
rule_based_recovery,clean,0,0.0,-6.0,1.0,0.0008745577086456405,50,0.017633169889450073,0.1044882982969284,0.0,1.0,1
rule_based,clean,0,0.0,-5.0,1.0,0.0008531807570535489,50,0.013494925573468208,0.08293560147285461,0.0,0.0,2
rule_based_recovery,clean,0,0.0,-5.0,1.0,0.0008531807570535489,50,0.013494925573468208,0.08293560147285461,0.0,0.0,2
rule_based,clean,0,0.0,-6.0,1.0,0.0026074233586372807,50,0.017422407865524292,0.11256435513496399,0.0,0.0,3
rule_based_recovery,clean,0,0.0,-6.0,1.0,0.0026074233586372807,50,0.017422407865524292,0.11256435513496399,0.0,0.0,3
rule_based,clean,0,0.0,-7.0,1.0,0.000662725860607792,50,0.0199041236191988,0.12434372305870056,0.0,0.0,4
rule_based_recovery,clean,0,0.0,-7.0,1.0,0.000662725860607792,50,0.0199041236191988,0.12434372305870056,0.0,0.0,4
rule_based,clean,0,0.0,-5.0,1.0,0.0007117741423123626,50,0.013290691189467907,0.08106265217065811,0.0,0.0,5
rule_based_recovery,clean,0,0.0,-5.0,1.0,0.0007117741423123626,50,0.013290691189467907,0.08106265217065811,0.0,0.0,5
rule_based,clean,0,0.0,-1.0,1.0,0.0008440186729650472,50,0.006416714284569025,0.03861391916871071,0.0,0.0,6
rule_based_recovery,clean,0,0.0,-1.0,1.0,0.0008440186729650472,50,0.006416714284569025,0.03861391916871071,0.0,1.0,6
rule_based,clean,0,0.0,-6.0,1.0,0.0007460570783511636,50,0.015253660269081593,0.09304176270961761,0.0,0.0,7
rule_based_recovery,clean,0,0.0,-6.0,1.0,0.0007460570783511636,50,0.015253660269081593,0.09304176270961761,0.0,0.0,7
rule_based,clean,0,0.0,-6.0,1.0,0.0008871866099006567,50,0.016803115606307983,0.10040882229804993,0.0,0.0,8
rule_based_recovery,clean,0,0.0,-6.0,1.0,0.0008871866099006567,50,0.016803115606307983,0.10040882229804993,0.0,1.0,8
rule_based,clean,0,0.0,-5.0,1.0,0.0006666816236696235,50,0.01346074789762497,0.08296369761228561,0.0,0.0,9
rule_based_recovery,clean,0,0.0,-5.0,1.0,0.0006666816236696235,50,0.01346074789762497,0.08296369761228561,0.0,0.0,9
sac_her,clean,0,0.0,-2.0,1.0,0.02052983247760015,50,0.03709515929222107,0.9207416772842407,1.0,0.0,0
sac_her_recovery,clean,0,0.0,-5.0,1.0,0.022119535461018382,50,0.037197232246398926,0.17905616760253906,1.0,1.0,0
sac_her,clean,0,0.0,-2.0,1.0,0.013581583142305698,50,0.04345318675041199,0.7060568332672119,1.0,0.0,1
sac_her_recovery,clean,0,0.0,-2.0,1.0,0.0008845862738029527,50,0.04649266600608826,0.12785501778125763,1.0,1.0,1
sac_her,clean,0,0.0,-1.0,1.0,0.016036494909715315,50,0.039569128304719925,0.3708913326263428,1.0,0.0,2
sac_her_recovery,clean,0,0.0,-1.0,1.0,0.013652368162699964,50,0.19803975522518158,0.32146960496902466,1.0,1.0,2
