condition,episode_idx,success,total_reward,final_distance,recovery_triggered_count,first_recovery_step,steps_to_success,max_distance_from_goal
clean,0,1,-3.0,0.0016243756642060254,47,3,3,0.2126081706012402
clean,1,1,0.0,0.0007922661245981802,49,1,0,0.07703805445128271
clean,2,1,-4.0,0.03349893493573979,47,3,4,0.21970261797146862
clean,3,1,-5.0,0.015008885492038193,9,2,5,0.18926669847066732
clean,4,1,-4.0,0.0008764696770402519,49,1,4,0.14660650620344126
clean,5,1,-4.0,0.025845923082351587,48,2,4,0.15547349893199733
clean,6,1,-3.0,0.0008736424278269208,49,1,3,0.13143243039550298
clean,7,1,-3.0,0.010795746086143787,6,4,3,0.15705194785710522
clean,8,1,-4.0,0.0005950321445357307,48,2,4,0.1610713214636968
clean,9,1,-3.0,0.0008281918288570433,49,1,3,0.1276351569794473
clean,10,1,0.0,0.0007922537014651775,49,1,0,0.0878287410149235
clean,11,1,-6.0,0.0007784113444285176,49,1,6,0.1750036780182428
clean,12,1,0.0,0.0008983724750003149,49,1,0,0.07166812335207509
clean,13,1,0.0,0.0008258849885497897,49,1,0,0.06497799272607774
clean,14,1,-4.0,0.0169249062069748,10,1,4,0.1475597556340611
clean,15,1,-2.0,0.0006676714069143235,47,3,2,0.18152304154785553
clean,16,1,-2.0,0.016924930355772236,47,3,2,0.1908088374939713
clean,17,1,-1.0,0.000877433073667801,48,2,1,0.11681842206328344
clean,18,1,-4.0,0.01888533438956869,48,2,4,0.18026240261156895
clean,19,1,-5.0,0.007427884837159559,49,1,5,0.15515845574024886
clean,20,1,0.0,0.017076499794385337,6,1,0,0.08300719139837222
clean,21,1,-2.0,0.0009120893545809898,47,3,2,0.16539514762640561
clean,22,1,-6.0,0.003083620649625628,49,1,6,0.17868521857959974
clean,23,1,-5.0,0.0008390490537889822,49,1,5,0.1375451110013178
clean,24,1,-5.0,0.012385777077519899,10,1,5,0.1544807513000469
clean,25,1,-5.0,0.014216595541501571,12,1,5,0.15576040285586337
clean,26,1,-1.0,0.014552748513516192,8,1,1,0.08618790433416589
clean,27,1,-1.0,0.0008285510512495088,49,1,1,0.09806183656829275
clean,28,1,-4.0,0.01444460280874732,9,2,4,0.18672429864373966
clean,29,1,-3.0,0.0298680255192126,40,10,3,0.23946698692814478
clean,30,1,-3.0,0.0005467593549083964,46,4,3,0.2270549002769782
clean,31,1,-3.0,0.0008557786617320902,47,3,3,0.2118754100520053
clean,32,1,-1.0,0.0007556768009218885,47,3,1,0.1258399580469583
clean,33,1,-2.0,0.0007375082934661057,47,3,2,0.17108077210062403
clean,34,1,-2.0,0.012971207096285435,5,28,2,0.1309616199386691
clean,35,1,-5.0,0.0008791557349845595,49,1,5,0.15818758421212362
clean,36,1,-6.0,0.029647488439674855,48,2,6,0.21314003481264876
clean,37,1,-5.0,0.012282852309191478,12,1,5,0.15024861447617377
clean,38,1,-3.0,0.014601709957194214,47,3,3,0.21054393648542444
clean,39,1,-5.0,0.013248330813092186,9,1,5,0.14888824610279877
clean,40,1,-1.0,0.0008603934717786584,48,2,1,0.10764628615790996
clean,41,1,-4.0,0.0007188477019543577,48,2,4,0.18167867374695248
clean,42,1,0.0,0.0008694838701696048,49,1,0,0.0704495748004755
